# MEAN_SAMPLE_SIZE = 2613
# TOTAL_GENES = 14594
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                              TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Neonatal_Muscle.Erythroblast...2     COVAR   14594      0.13582      0.01794     0.093742     0.073692 Neonatal_Muscle.Erythroblast_Hbb.bs_high
Neonatal_Muscle.Glial_cell           COVAR   14594      0.27621     0.030388      0.14065     0.024788 Neonatal_Muscle.Glial_cell
Neonatal_Muscle.Macrophage_L...      COVAR   14594      0.33153     0.036906      0.15034     0.013726 Neonatal_Muscle.Macrophage_Lyz2_high
Neonatal_Muscle.Macrophage_P...      COVAR   14594      0.29542     0.034643      0.14059     0.017819 Neonatal_Muscle.Macrophage_Pf4_high
Neonatal_Muscle.Mast_cell            COVAR   14594     0.031124      0.00364      0.12601      0.40246 Neonatal_Muscle.Mast_cell
Neonatal_Muscle.Mesenchymal_...      COVAR   14594      0.01364    0.0013865      0.20318      0.47324 Neonatal_Muscle.Mesenchymal_cell
Neonatal_Muscle.Muscle_cell_...1     COVAR   14594      0.12609     0.014465      0.13612      0.17716 Neonatal_Muscle.Muscle_cell_Actc1_high
Neonatal_Muscle.Muscle_cell_...2     COVAR   14594     -0.13752    -0.015287       0.1745      0.78467 Neonatal_Muscle.Muscle_cell_Myl9_high
Neonatal_Muscle.Neuron               COVAR   14594  -3.1292e-06   -3.441e-07      0.16109      0.50001 Neonatal_Muscle.Neuron
Neonatal_Muscle.Neutrophil_E...      COVAR   14594    -0.042998   -0.0074065     0.091004       0.6817 Neonatal_Muscle.Neutrophil_Elane_high
Neonatal_Muscle.Neutrophil_H...      COVAR   14594    -0.082399     -0.01092     0.089074      0.82252 Neonatal_Muscle.Neutrophil_Hmox1_high
Neonatal_Muscle.Neutrophil_S...      COVAR   14594    -0.022257   -0.0022327      0.15833      0.55589 Neonatal_Muscle.Neutrophil_Stfa3_high
Neonatal_Muscle.Skeletal_mus...1     COVAR   14594     -0.11738    -0.013778       0.1454      0.79024 Neonatal_Muscle.Skeletal_muscle_cell_Myl1_high
Neonatal_Muscle.Skeletal_mus...2     COVAR   14594    -0.028398   -0.0047277     0.069553      0.65847 Neonatal_Muscle.Skeletal_muscle_cell_Tnnc2_high
Neonatal_Muscle.Smooth_muscl...      COVAR   14594     -0.12457    -0.015283      0.14399      0.80652 Neonatal_Muscle.Smooth_muscle_cell_Mylk_high
Neonatal_Muscle.Stromal_cell...1     COVAR   14594     -0.25402    -0.026337       0.1986      0.89955 Neonatal_Muscle.Stromal_cell_Ndn_high
Neonatal_Muscle.Stromal_cell...2     COVAR   14594     -0.07285    -0.011273     0.078565       0.8231 Neonatal_Muscle.Stromal_cell_Spp1_high
Neonatal_Muscle.T_cell               COVAR   14594     0.044941    0.0067224     0.094439      0.31709 Neonatal_Muscle.T_cell
Neonatal_Muscle.Tendon_stem....      COVAR   14594     -0.31359    -0.037358      0.15375      0.97929 Neonatal_Muscle.Tendon_stem.progenitor_cell
Neonatal_Rib.B_cell                  COVAR   14594     -0.11926    -0.014331       0.1394      0.80387 Neonatal_Rib.B_cell
Neonatal_Rib.Cartilage_cell_...1     COVAR   14594    -0.026462   -0.0035459      0.12594      0.58321 Neonatal_Rib.Cartilage_cell_Clu_high
Neonatal_Rib.Cartilage_cell_...2     COVAR   14594     -0.07422   -0.0088938      0.14541      0.69511 Neonatal_Rib.Cartilage_cell_Col2a1_high
Neonatal_Rib.Cartilage_cell_...3     COVAR   14594      -0.1031    -0.015462      0.11187      0.82162 Neonatal_Rib.Cartilage_cell_Cxcl14_high
Neonatal_Rib.Cartilage_cell_...4     COVAR   14594     -0.12269    -0.018498      0.11586      0.85517 Neonatal_Rib.Cartilage_cell_Ppa1_high
Neonatal_Rib.Cartilage_cell_...5     COVAR   14594     0.045975    0.0069564      0.11776      0.34812 Neonatal_Rib.Cartilage_cell_Prg4_high
Neonatal_Rib.Dividing_cell           COVAR   14594    -0.072267    -0.010311      0.10514      0.75406 Neonatal_Rib.Dividing_cell
Neonatal_Rib.Endothelial_cell        COVAR   14594    -0.021487   -0.0030462      0.11003      0.57741 Neonatal_Rib.Endothelial_cell
Neonatal_Rib.Erythroblast_Hb...      COVAR   14594     0.017524    0.0026933      0.10157      0.43151 Neonatal_Rib.Erythroblast_Hba.a1_high
Neonatal_Rib.Erythroblast_Tt...      COVAR   14594     -0.24744    -0.025475      0.19211      0.90112 Neonatal_Rib.Erythroblast_Ttr_high
Neonatal_Rib.Granulocyte             COVAR   14594    -0.048821   -0.0062858      0.13316      0.64305 Neonatal_Rib.Granulocyte
Neonatal_Rib.Macrophage_C1qc...      COVAR   14594      0.16144     0.023645      0.11136     0.073578 Neonatal_Rib.Macrophage_C1qc_high
Neonatal_Rib.Macrophage_Ctss...      COVAR   14594     0.060529    0.0080961      0.12524      0.31444 Neonatal_Rib.Macrophage_Ctss_high
Neonatal_Rib.Muscle_cell             COVAR   14594     -0.20329    -0.024999      0.15137      0.91036 Neonatal_Rib.Muscle_cell
Neonatal_Rib.Muscle_cell_Act...1     COVAR   14594    -0.014648   -0.0019028      0.10813      0.55388 Neonatal_Rib.Muscle_cell_Acta2_high
Neonatal_Rib.Muscle_cell_Act...2     COVAR   14594    -0.017577   -0.0026073     0.080368      0.58656 Neonatal_Rib.Muscle_cell_Actc1_high
Neonatal_Rib.Neuron_Mpz_high         COVAR   14594     -0.12421     -0.01313      0.12715      0.83567 Neonatal_Rib.Neuron_Mpz_high
Neonatal_Rib.Neuron_Stmn2_hi...      COVAR   14594      0.21011      0.03151     0.089875    0.0097061 Neonatal_Rib.Neuron_Stmn2_high
Neonatal_Rib.Neutrophil              COVAR   14594    -0.024846    -0.002875      0.12302      0.58003 Neonatal_Rib.Neutrophil
Neonatal_Rib.Neutrophil_Elan...      COVAR   14594    -0.093005    -0.015921     0.092937      0.84151 Neonatal_Rib.Neutrophil_Elane_high
Neonatal_Rib.Oligodendrocyte         COVAR   14594      0.11487     0.017912     0.080791     0.077547 Neonatal_Rib.Oligodendrocyte
Neonatal_Rib.Osteoblast              COVAR   14594     0.017711    0.0028398      0.10692      0.43422 Neonatal_Rib.Osteoblast
Neonatal_Rib.Osteoclast              COVAR   14594     0.033964    0.0064801     0.076342       0.3282 Neonatal_Rib.Osteoclast
Neonatal_Rib.Stromal_cell_Ac...      COVAR   14594     -0.31457    -0.039347      0.17218      0.96614 Neonatal_Rib.Stromal_cell_Acta1_high
Neonatal_Rib.Stromal_cell_Tn...      COVAR   14594     -0.24599    -0.028474      0.16818      0.92821 Neonatal_Rib.Stromal_cell_Tnmd_high
Neonatal_Skin.Adipocyte              COVAR   14594     0.082526     0.011619      0.11207      0.23075 Neonatal_Skin.Adipocyte
Neonatal_Skin.Brown_adipose_...1     COVAR   14594     0.056935     0.011221     0.068363      0.20248 Neonatal_Skin.Brown_adipose_tissue_Cidea_high
Neonatal_Skin.Brown_adipose_...2     COVAR   14594     0.001304   0.00021222     0.090961      0.49428 Neonatal_Skin.Brown_adipose_tissue_Cox8b_high
Neonatal_Skin.Brown_adipose_...3     COVAR   14594     0.094517     0.015138      0.07699       0.1098 Neonatal_Skin.Brown_adipose_tissue_mt.Nd5_high
Neonatal_Skin.Dividing_cell          COVAR   14594     0.066644    0.0074281      0.16513      0.34326 Neonatal_Skin.Dividing_cell
Neonatal_Skin.Endothelial_ce...      COVAR   14594     -0.12088    -0.015312      0.13275      0.81874 Neonatal_Skin.Endothelial_cell
Neonatal_Skin.Epithelial_cell        COVAR   14594      -0.1126    -0.011665       0.1672      0.74966 Neonatal_Skin.Epithelial_cell
Neonatal_Skin.Erythroblast           COVAR   14594     0.016021    0.0017942      0.14489      0.45598 Neonatal_Skin.Erythroblast
Neonatal_Skin.Keratinocyte           COVAR   14594     0.035076    0.0043765      0.13073      0.39423 Neonatal_Skin.Keratinocyte
Neonatal_Skin.Lymphatic_vess...      COVAR   14594    0.0047185   0.00077994     0.088357      0.47871 Neonatal_Skin.Lymphatic_vessel_endothelial_cell
Neonatal_Skin.Macrophage_Cd7...      COVAR   14594     0.068494     0.011728     0.071285      0.16832 Neonatal_Skin.Macrophage_Cd74_high
Neonatal_Skin.Macrophage_Lyz...      COVAR   14594     0.099824     0.012752      0.09634      0.15007 Neonatal_Skin.Macrophage_Lyz2_high
Neonatal_Skin.Macrophage_Pf4...      COVAR   14594     0.089958     0.012289        0.108      0.20244 Neonatal_Skin.Macrophage_Pf4_high
Neonatal_Skin.Mast_cell              COVAR   14594   -0.0063666  -0.00077047      0.12548      0.52023 Neonatal_Skin.Mast_cell
Neonatal_Skin.Melanocyte             COVAR   14594      0.11896     0.013722      0.11886      0.15846 Neonatal_Skin.Melanocyte
Neonatal_Skin.Muscle_cell_Ac...      COVAR   14594    -0.095487    -0.010255      0.14086      0.75108 Neonatal_Skin.Muscle_cell_Actc1_high
Neonatal_Skin.Muscle_cell_Lr...      COVAR   14594     -0.12749    -0.014084      0.17714      0.76414 Neonatal_Skin.Muscle_cell_Lrrc15_high
Neonatal_Skin.Neuron                 COVAR   14594    -0.048057   -0.0051302      0.14569      0.62924 Neonatal_Skin.Neuron
Neonatal_Skin.Neutrophil             COVAR   14594     -0.13912    -0.019753     0.078372      0.96205 Neonatal_Skin.Neutrophil
Neonatal_Skin.Osteoblast_Dlk...      COVAR   14594     -0.37325    -0.038411      0.19732      0.97072 Neonatal_Skin.Osteoblast_Dlk1_high
Neonatal_Skin.Osteoblast_Ppi...      COVAR   14594     -0.23512    -0.023413      0.22416      0.85287 Neonatal_Skin.Osteoblast_Ppic_high
Neonatal_Skin.Smooth_muscle_...      COVAR   14594    -0.011878    -0.001286       0.1602      0.52955 Neonatal_Skin.Smooth_muscle_cell_Acta2_high
Neonatal_Skin.Stromal_cell_A...      COVAR   14594     -0.11324     -0.01309      0.14127      0.78858 Neonatal_Skin.Stromal_cell_Akr1c18_high
Neonatal_Skin.Stromal_cell_G...      COVAR   14594     -0.38059    -0.041186      0.19419      0.97499 Neonatal_Skin.Stromal_cell_Gas6_high
