# MEAN_SAMPLE_SIZE = 2613
# TOTAL_GENES = 14594
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                               TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Bone_Marrow.MSC                       COVAR   14594     -0.07048   -0.0091771      0.11661      0.72721 Bone_Marrow.MSC
Bone_Marrow.Multipotent_prog...       COVAR   14594     -0.13565    -0.020885       0.1246      0.86183 Bone_Marrow.Multipotent_progenitor_Ctla2a_high
Bone_Marrow.Myoblast                  COVAR   14594     -0.11981    -0.017608     0.095335      0.89556 Bone_Marrow.Myoblast
Bone_Marrow.Neutrophil_               COVAR   14594     -0.13822    -0.020036      0.13015      0.85587 Bone_Marrow.Neutrophil_
Bone_Marrow.Neutrophil_Cebpe...       COVAR   14594    0.0089321    0.0018027     0.055892      0.43652 Bone_Marrow.Neutrophil_Cebpe_high
Bone_Marrow.Neutrophil_Fcnb_...       COVAR   14594    0.0043845   0.00059181      0.11398      0.48466 Bone_Marrow.Neutrophil_Fcnb_high
Bone_Marrow.Neutrophil_Ighg1...       COVAR   14594      0.03173    0.0033761      0.14275      0.41205 Bone_Marrow.Neutrophil_Ighg1_high
Bone_Marrow.Neutrophil_Lcn2_...       COVAR   14594    -0.059093   -0.0060382      0.15801      0.64579 Bone_Marrow.Neutrophil_Lcn2_high
Bone_Marrow.Neutrophil_Ltf_h...       COVAR   14594     0.033676    0.0042463      0.10537      0.37464 Bone_Marrow.Neutrophil_Ltf_high
Bone_Marrow.Neutrophil_Mmp8_...       COVAR   14594     0.058872      0.00757      0.08691      0.24908 Bone_Marrow.Neutrophil_Mmp8_high
Bone_Marrow.Neutrophil_Ngp_h...       COVAR   14594     0.012966    0.0014047       0.1154      0.45527 Bone_Marrow.Neutrophil_Ngp_high
Bone_Marrow.Neutrophil_proge...       COVAR   14594    -0.015446   -0.0016741      0.10037      0.56115 Bone_Marrow.Neutrophil_progenitor
Bone_Marrow.Neutrophil_Retnl...       COVAR   14594     0.031295    0.0036772      0.10095      0.37828 Bone_Marrow.Neutrophil_Retnlg_high
Bone_Marrow.Osteoblasts               COVAR   14594     -0.07573    -0.010238      0.10875      0.75689 Bone_Marrow.Osteoblasts
Bone_Marrow.Pre.pro_B_cell            COVAR   14594    0.0040279   0.00052588      0.10392      0.48454 Bone_Marrow.Pre.pro_B_cell
Bone_Marrow.Proerythrocytes           COVAR   14594    -0.036203   -0.0070289     0.081264      0.67202 Bone_Marrow.Proerythrocytes
Bone_Marrow.Stromal_cell_Cnm...       COVAR   14594    -0.089015    -0.014867      0.08976      0.83932 Bone_Marrow.Stromal_cell_Cnmd_high
Bone_Marrow.Stromal_cell_Col...1      COVAR   14594    -0.073182    -0.012642     0.083439      0.80977 Bone_Marrow.Stromal_cell_Col10a1_high
Bone_Marrow.Stromal_cell_Col...2      COVAR   14594    -0.083861    -0.011966      0.10847      0.78027 Bone_Marrow.Stromal_cell_Col1a2_high
Bone_Marrow.T_cell_Ms4a4b_hi...       COVAR   14594     0.027278    0.0027365      0.12915      0.41636 Bone_Marrow.T_cell_Ms4a4b_high
Brain.Astrocyte_Atp1b2_high           COVAR   14594      0.26714     0.024175      0.11434    0.0097442 Brain.Astrocyte_Atp1b2_high
Brain.Astrocyte_Mfe8_high             COVAR   14594      0.22732     0.022244      0.11121     0.020481 Brain.Astrocyte_Mfe8_high
Brain.Astrocyte_Pla2g7_high           COVAR   14594     0.020927    0.0024348     0.080757      0.39777 Brain.Astrocyte_Pla2g7_high
Brain.Astroglial_cell                 COVAR   14594      0.16354     0.022553     0.076586     0.016374 Brain.Astroglial_cell
Brain.Granulocyte_Il33_high           COVAR   14594      0.10464     0.013796     0.073475     0.077209 Brain.Granulocyte_Il33_high
Brain.Granulocyte_Ngp_high            COVAR   14594   -0.0044146  -0.00096849     0.041577      0.54228 Brain.Granulocyte_Ngp_high
Brain.Hypothalamic_ependymal...       COVAR   14594    0.0083554    0.0016363     0.053375       0.4378 Brain.Hypothalamic_ependymal_cell
Brain.Macrophage_Klf2_high            COVAR   14594      0.15796     0.016856      0.11394     0.082835 Brain.Macrophage_Klf2_high
Brain.Macrophage_Lyz2_high            COVAR   14594      0.24052     0.031147      0.11382       0.0173 Brain.Macrophage_Lyz2_high
Brain.Microglia                       COVAR   14594     0.056524    0.0053598       0.1298      0.33162 Brain.Microglia
Brain.Myelinating_oligodendr...       COVAR   14594      0.31338     0.036318     0.098981   0.00077425 Brain.Myelinating_oligodendrocyte
Brain.Neuron                          COVAR   14594      0.30809     0.023018      0.12635    0.0073801 Brain.Neuron
Brain.Oligodendrocyte_precur...       COVAR   14594      0.37855     0.044431      0.10064   8.4769e-05 Brain.Oligodendrocyte_precursor_cell
Brain.Pan.GABAergic                   COVAR   14594      0.17129     0.021113     0.097657     0.039724 Brain.Pan.GABAergic
Brain.Schwann_cell                    COVAR   14594     0.068872     0.014416     0.057395      0.11509 Brain.Schwann_cell
Kidney.B_cell                         COVAR   14594    -0.030269    -0.004849     0.067828      0.67229 Kidney.B_cell
Kidney.Dendritic_cell_Ccr7_h...       COVAR   14594     0.027736    0.0034908      0.10046      0.39124 Kidney.Dendritic_cell_Ccr7_high
Kidney.Dendritic_cell_Cst3_h...       COVAR   14594      0.04035    0.0044541       0.1197      0.36803 Kidney.Dendritic_cell_Cst3_high
Kidney.Distal_collecting_duc...1      COVAR   14594      0.11418     0.013942      0.10949      0.14852 Kidney.Distal_collecting_duct_principal_cell_Cldn4_high
Kidney.Distal_collecting_duc...2      COVAR   14594    0.0031867   0.00034617      0.12748      0.49003 Kidney.Distal_collecting_duct_principal_cell_Hsd11b2_high
Kidney.Distal_convoluted_tub...1      COVAR   14594       0.1192     0.013655      0.12306      0.16636 Kidney.Distal_convoluted_tubule_Pvalb_high
Kidney.Distal_convoluted_tub...2      COVAR   14594    -0.028791   -0.0031528      0.12801      0.58897 Kidney.Distal_convoluted_tubule_S100g_high
Kidney.Endothelial_cell               COVAR   14594    -0.029863   -0.0044542     0.095596      0.62262 Kidney.Endothelial_cell
Kidney.Epithelial_cell_Cryab...       COVAR   14594     0.027266    0.0033565      0.11135      0.40328 Kidney.Epithelial_cell_Cryab_high
Kidney.Fenestrated_endotheli...1      COVAR   14594     0.025704    0.0029888      0.11339      0.41033 Kidney.Fenestrated_endothelial_cell_Plvap_high
Kidney.Fenestrated_endotheli...2      COVAR   14594     -0.23739    -0.023487      0.13402      0.96174 Kidney.Fenestrated_endothelial_cell_Tm4sf1_high
Kidney.Intercalated_cells_of...1      COVAR   14594    -0.070279   -0.0082614      0.12343      0.71545 Kidney.Intercalated_cells_of_collecting_duct_Aqp6_high
Kidney.Intercalated_cells_of...2      COVAR   14594    -0.067709   -0.0078828      0.12392      0.70759 Kidney.Intercalated_cells_of_collecting_duct_Slc26a4_high
Kidney.Macrophage_Ccl4_high_          COVAR   14594      0.09538     0.011848      0.13086      0.23305 Kidney.Macrophage_Ccl4_high_
Kidney.Macrophage_Lyz2_high           COVAR   14594     0.041507    0.0074969      0.06823      0.27149 Kidney.Macrophage_Lyz2_high
Kidney.Neutrophil_progenitor...       COVAR   14594     0.017432    0.0031856      0.05325       0.3717 Kidney.Neutrophil_progenitor_S100a8_high
Kidney.Proximal_tubule_brush...       COVAR   14594    -0.016592   -0.0022953     0.089292       0.5737 Kidney.Proximal_tubule_brush_border_cell
Kidney.Proximal_tubule_cell_...1      COVAR   14594    0.0079696    0.0009887      0.09954      0.46809 Kidney.Proximal_tubule_cell_Cyp4a14_high
