# MEAN_SAMPLE_SIZE = 39955
# TOTAL_GENES = 14974
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                   TYPE  NGENES         BETA     BETA_STD           SE            P
CB.Neuron                 COVAR   14974     0.025633     0.069245     0.006751   7.3562e-05
CB.Endothelial_stalk      COVAR   14974    -0.013787    -0.039047     0.006246      0.98635
CB.Endothelial_tip        COVAR   14974    -0.014787    -0.040061    0.0054607      0.99661
CB.Mural                  COVAR   14974    -0.016994    -0.045919    0.0052963      0.99933
CB.Microglia              COVAR   14974   -0.0028677   -0.0088349    0.0040335      0.76144
CB.Oligodendrocyte        COVAR   14974    0.0021381    0.0058315    0.0066428      0.37378
CB.Polydendrocyte         COVAR   14974  -0.00097367   -0.0029991    0.0040587      0.59479
CB.Astrocyte              COVAR   14974   0.00064256    0.0017195    0.0070068      0.46347
CB.Choroid_plexus         COVAR   14974   -0.0072635    -0.020114    0.0051439      0.92102
FC.Neuron                 COVAR   14974     0.032027     0.084858    0.0068288   1.3787e-06
FC.Polydendrocyte         COVAR   14974     0.021968     0.057562      0.01039     0.017249
FC.Microglia              COVAR   14974   -0.0042361    -0.011183    0.0058229      0.76653
FC.Macrophage             COVAR   14974     0.000896    0.0025072     0.006031      0.44095
FC.Endothelial_stalk      COVAR   14974   -0.0086143    -0.023047    0.0079809      0.85978
FC.Mural                  COVAR   14974    -0.019211    -0.050607    0.0084642      0.98838
FC.Endothelial_tip        COVAR   14974    -0.016946    -0.044154    0.0083158      0.97921
FC.Astrocyte              COVAR   14974     0.015166     0.038936    0.0092926      0.05135
FC.Oligodendrocyte        COVAR   14974     0.022759     0.059343    0.0092949     0.007178
PC.Neuron                 COVAR   14974     0.032139     0.086433    0.0066499    6.793e-07
PC.Polydendrocyte         COVAR   14974     0.014313     0.038577    0.0088354     0.052627
PC.Microglia              COVAR   14974     0.001686    0.0038252    0.0058351      0.38631
PC.Macrophage             COVAR   14974    0.0019703    0.0056639     0.005595      0.36236
PC.Endothelial_stalk      COVAR   14974    -0.010204    -0.027542    0.0080174      0.89844
PC.Mural                  COVAR   14974    -0.014486    -0.038143    0.0073194      0.97609
PC.Endothelial_tip        COVAR   14974    -0.006603    -0.017067    0.0083918      0.78431
PC.Astrocyte              COVAR   14974     0.019802     0.051439    0.0090934     0.014724
PC.Oligodendrocyte        COVAR   14974     0.019576      0.05179    0.0090328     0.015117
ENT.Oligodendrocyte       COVAR   14974     0.010827     0.028062    0.0085205      0.10192
ENT.Endothelial_stalk     COVAR   14974    -0.015712    -0.043441    0.0070802      0.98675
ENT.Mural                 COVAR   14974    -0.013702    -0.035755    0.0064965      0.98253
ENT.Endothelial_tip       COVAR   14974    -0.009856    -0.029943    0.0043806      0.98776
ENT.Neuron                COVAR   14974     0.028282     0.074017    0.0066635   1.1032e-05
ENT.Polydendrocyte        COVAR   14974     0.013717     0.036783    0.0086998     0.057444
ENT.Astrocyte             COVAR   14974   0.00041114    0.0011159    0.0069211      0.47632
GP.Neuron                 COVAR   14974     0.036066     0.094756    0.0067771   5.2163e-08
GP.Oligodendrocyte        COVAR   14974     0.021684     0.057074     0.008766    0.0066922
GP.Microglia              COVAR   14974   0.00084441    0.0023622    0.0058297      0.44242
GP.Macrophage             COVAR   14974    0.0036244     0.010226    0.0056786      0.26166
GP.Polydendrocyte         COVAR   14974     0.024748     0.061503    0.0093446     0.004049
