Dataset	Cell_type	MODEL	NGENES	BETA	BETA_STD	SE	P	Marginal.P	PS
Linnarsson_MouseBrainAtlas_level5	HBGLU2	102	15314	0.091063	0.035456	0.070685	0.098834	6.1456e-06	0.192863096361793
Linnarsson_MouseBrainAtlas_level5	HBINH2	103	15314	0.12443	0.075219	0.046836	0.0039491	2.4232e-07	0.363307631509694
Linnarsson_MouseBrainAtlas_level5	HBGLU2	103	15314	0.070526	0.02746	0.07648	0.17823	6.1456e-06	0.143726073688423
Linnarsson_MouseBrainAtlas_level5	HBGLU1	104	15314	0.12647	0.0698	0.037911	0.00042598	3.0877e-08	0.448794543897271
Linnarsson_MouseBrainAtlas_level5	HBCHO2	104	15314	0.10853	0.063279	0.03456	0.00084536	5.9379e-08	0.425242484126855
Linnarsson_MouseBrainAtlas_level5	HBGLU1	105	15314	0.1428	0.078812	0.037086	5.917e-05	3.0877e-08	0.562941812518375
Linnarsson_MouseBrainAtlas_level5	HBCHO1	105	15314	0.080196	0.042456	0.032397	0.0066606	2.8092e-06	0.392059633344507
Linnarsson_MouseBrainAtlas_level5	HBGLU1	106	15314	0.12614	0.069618	0.037571	0.00039429	3.0877e-08	0.453264825572189
Linnarsson_MouseBrainAtlas_level5	HBCHO3	106	15314	0.093475	0.064872	0.028345	0.00048837	3.7895e-08	0.446174973917579
Linnarsson_MouseBrainAtlas_level5	HBGLU1	107	15314	0.14533	0.080208	0.036264	3.0819e-05	3.0877e-08	0.60066075562325
Linnarsson_MouseBrainAtlas_level5	HBCHO4	107	15314	0.094714	0.056065	0.035617	0.00392	3.2672e-06	0.438715097370567
Linnarsson_MouseBrainAtlas_level5	HBGLU1	108	15314	0.13384	0.073865	0.03873	0.00027523	3.0877e-08	0.474052096832467
Linnarsson_MouseBrainAtlas_level5	HBINH5	108	15314	0.12466	0.053518	0.050178	0.0064963	6.1146e-07	0.352021803966256
Linnarsson_MouseBrainAtlas_level5	HBGLU1	109	15314	0.13459	0.074277	0.037378	0.00015921	3.0877e-08	0.505705076531593
Linnarsson_MouseBrainAtlas_level5	HBINH6	109	15314	0.12724	0.057369	0.044288	0.0020364	3.5286e-07	0.417075495170598
Linnarsson_MouseBrainAtlas_level5	HBGLU1	110	15314	0.13473	0.074358	0.036941	0.000133	3.0877e-08	0.516106528711234
Linnarsson_MouseBrainAtlas_level5	HBINH2	110	15314	0.10452	0.063183	0.034245	0.001138	2.4232e-07	0.444986540741585
Linnarsson_MouseBrainAtlas_level5	HBCHO2	111	15314	0.1304	0.076031	0.045143	0.001937	5.9379e-08	0.375412753600663
Linnarsson_MouseBrainAtlas_level5	HBCHO1	111	15314	0.041386	0.02191	0.043259	0.16937	2.8092e-06	0.138912905516943
Linnarsson_MouseBrainAtlas_level5	HBCHO3	112	15314	0.085966	0.05966	0.03244	0.0040285	3.7895e-08	0.322695285918369
Linnarsson_MouseBrainAtlas_level5	HBCHO2	112	15314	0.09723	0.056689	0.039198	0.0065659	5.9379e-08	0.302047446457871
Linnarsson_MouseBrainAtlas_level5	HBCHO2	113	15314	0.12396	0.072272	0.038326	0.00061121	5.9379e-08	0.444733777739727
Linnarsson_MouseBrainAtlas_level5	HBCHO4	113	15314	0.068359	0.040465	0.041292	0.048921	3.2672e-06	0.238889291251025
Linnarsson_MouseBrainAtlas_level5	HBCHO2	114	15314	0.12017	0.070062	0.050942	0.0091724	5.9379e-08	0.28195592340294
Linnarsson_MouseBrainAtlas_level5	HBINH5	114	15314	0.074641	0.032045	0.0724	0.15129	6.1146e-07	0.131998448569468
Linnarsson_MouseBrainAtlas_level5	HBCHO2	115	15314	0.10962	0.063916	0.044103	0.0064711	5.9379e-08	0.30292148908225
Linnarsson_MouseBrainAtlas_level5	HBINH6	115	15314	0.094814	0.04275	0.057323	0.049072	3.5286e-07	0.202896090502078
Linnarsson_MouseBrainAtlas_level5	HBCHO2	116	15314	0.10736	0.062598	0.040214	0.0037988	5.9379e-08	0.334933657572167
Linnarsson_MouseBrainAtlas_level5	HBINH2	116	15314	0.085873	0.05191	0.040893	0.017876	2.4232e-07	0.264182661705015
Linnarsson_MouseBrainAtlas_level5	HBCHO3	117	15314	0.10523	0.073028	0.031986	0.00050249	3.7895e-08	0.444507038585784
Linnarsson_MouseBrainAtlas_level5	HBCHO1	117	15314	0.058823	0.031141	0.037037	0.056129	2.8092e-06	0.225314116824921
Linnarsson_MouseBrainAtlas_level5	HBCHO1	118	15314	0.085767	0.045405	0.035636	0.0080537	2.8092e-06	0.377201788936795
Linnarsson_MouseBrainAtlas_level5	HBCHO4	118	15314	0.093989	0.055636	0.040065	0.0094967	3.2672e-06	0.368664247710407
Linnarsson_MouseBrainAtlas_level5	HBINH5	119	15314	0.14345	0.061588	0.056603	0.0056378	6.1146e-07	0.361928474928184
Linnarsson_MouseBrainAtlas_level5	HBCHO1	119	15314	0.071353	0.037775	0.038166	0.030782	2.8092e-06	0.272309407400288
Linnarsson_MouseBrainAtlas_level5	HBINH6	120	15314	0.13895	0.062651	0.049893	0.0026801	3.5286e-07	0.398588117559242
Linnarsson_MouseBrainAtlas_level5	HBCHO1	120	15314	0.071414	0.037807	0.036784	0.026113	2.8092e-06	0.285178204811987
Linnarsson_MouseBrainAtlas_level5	HBINH2	121	15314	0.11254	0.068032	0.038245	0.0016293	2.4232e-07	0.421427295558292
Linnarsson_MouseBrainAtlas_level5	HBCHO1	121	15314	0.071607	0.037909	0.03604	0.023477	2.8092e-06	0.293502956124
Linnarsson_MouseBrainAtlas_level5	HBCHO3	122	15314	0.10859	0.075362	0.034309	0.00077684	3.7895e-08	0.419012698556189
Linnarsson_MouseBrainAtlas_level5	HBCHO4	122	15314	0.053388	0.031603	0.044665	0.116	3.2672e-06	0.17053809292675
Linnarsson_MouseBrainAtlas_level5	HBCHO3	123	15314	0.097493	0.06766	0.032305	0.001275	3.7895e-08	0.390018427836179
Linnarsson_MouseBrainAtlas_level5	HBINH5	123	15314	0.10722	0.046033	0.055478	0.026645	6.1146e-07	0.253375849839813
Linnarsson_MouseBrainAtlas_level5	HBCHO3	124	15314	0.09614	0.066721	0.030402	0.00078441	3.7895e-08	0.418445213747625
Linnarsson_MouseBrainAtlas_level5	HBINH6	124	15314	0.11386	0.051339	0.047749	0.0085554	3.5286e-07	0.320463774604833
Linnarsson_MouseBrainAtlas_level5	HBCHO3	125	15314	0.092399	0.064125	0.033324	0.0027826	3.7895e-08	0.344347830656824
Linnarsson_MouseBrainAtlas_level5	HBINH2	125	15314	0.082912	0.05012	0.040947	0.021449	2.4232e-07	0.252220545681946
Linnarsson_MouseBrainAtlas_level5	HBINH5	126	15314	0.14563	0.062523	0.054973	0.0040389	6.1146e-07	0.385239569950431
Linnarsson_MouseBrainAtlas_level5	HBCHO4	126	15314	0.081248	0.048094	0.041673	0.025619	3.2672e-06	0.290100036967482
Linnarsson_MouseBrainAtlas_level5	HBINH6	127	15314	0.14162	0.063857	0.047519	0.0014419	3.5286e-07	0.44031150084196
Linnarsson_MouseBrainAtlas_level5	HBCHO4	127	15314	0.084537	0.050041	0.039389	0.015936	3.2672e-06	0.327684699199604
Linnarsson_MouseBrainAtlas_level5	HBINH2	128	15314	0.11319	0.068421	0.040239	0.0024586	2.4232e-07	0.394417420460654
Linnarsson_MouseBrainAtlas_level5	HBCHO4	128	15314	0.072742	0.043059	0.042633	0.043991	3.2672e-06	0.247298509106284
Linnarsson_MouseBrainAtlas_level5	HBINH6	129	15314	0.11918	0.053736	0.06725	0.038192	3.5286e-07	0.219767548869469
Linnarsson_MouseBrainAtlas_level5	HBINH5	129	15314	0.1061	0.045551	0.073533	0.074541	6.1146e-07	0.181472735225565
Linnarsson_MouseBrainAtlas_level5	HBINH2	130	15314	0.099239	0.05999	0.046294	0.016037	2.4232e-07	0.27130932296728
Linnarsson_MouseBrainAtlas_level5	HBINH5	130	15314	0.10849	0.046578	0.0647	0.046797	6.1146e-07	0.214010420689687
Linnarsson_MouseBrainAtlas_level5	HBINH2	131	15314	0.097411	0.058885	0.04105	0.0088291	2.4232e-07	0.310490390847127
Linnarsson_MouseBrainAtlas_level5	HBINH6	131	15314	0.11622	0.052402	0.052469	0.013388	3.5286e-07	0.290323755771304
Linnarsson_MouseBrainAtlas_level6_rank4	Chmn	132	15314	0.1945	0.10566	0.047063	1.8023e-05	8.03e-10	0.521607976189693
Linnarsson_MouseBrainAtlas_level6_rank4	Hind	132	15314	0.033387	0.015521	0.046345	0.23564	4.1879e-06	0.116725651615985
TabulaMuris_FACS_all	Brain_Non.Myeloid.neuron	133	14058	0.026478	0.049237	0.0078599	0.00037855	4.8912e-07	0.542244019844691
TabulaMuris_FACS_all	Brain_Non.Myeloid.oligodendrocyte	133	14058	0.02599	0.045146	0.0080279	0.00060431	7.6735e-07	0.526367423768752
TabulaMuris_FACS_all	Brain_Non.Myeloid.oligodendrocyte_precursor_cell	134	14058	0.022945	0.044567	0.0082881	0.00282	2.8178e-07	0.389269606345751
TabulaMuris_FACS_all	Brain_Non.Myeloid.neuron	134	14058	0.022493	0.041826	0.0087545	0.0051007	4.8912e-07	0.363257981948797
TabulaMuris_FACS_all	Brain_Non.Myeloid.oligodendrocyte_precursor_cell	135	14058	0.023839	0.046302	0.008071	0.0015731	2.8178e-07	0.427970262922827
TabulaMuris_FACS_all	Brain_Non.Myeloid.oligodendrocyte	135	14058	0.022696	0.039423	0.0087074	0.0045791	7.6735e-07	0.382537593560792
