# MEAN_SAMPLE_SIZE = 2613
# TOTAL_GENES = 14594
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                               TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Mammary_Gland_Lactation.Secr...5      COVAR   14594    -0.010704  -0.00068323      0.25068      0.51703 Mammary_Gland_Lactation.Secretory_alveoli_cell_Bckdha_high
Mammary_Gland_Lactation.Secr...6      COVAR   14594     0.061072    0.0045515      0.22753      0.39419 Mammary_Gland_Lactation.Secretory_alveoli_cell_Ccng1_high
Mammary_Gland_Lactation.Secr...7      COVAR   14594    -0.043939   -0.0030841      0.18337      0.59469 Mammary_Gland_Lactation.Secretory_alveoli_cell_Cd63_high
Mammary_Gland_Lactation.Secr...8      COVAR   14594      0.17044     0.012119      0.16459      0.15021 Mammary_Gland_Lactation.Secretory_alveoli_cell_Cd83_high
Mammary_Gland_Lactation.Secr...9      COVAR   14594    -0.088905   -0.0061099      0.21714      0.65889 Mammary_Gland_Lactation.Secretory_alveoli_cell_Cfd_high
Mammary_Gland_Lactation.Secr...10     COVAR   14594     0.033006     0.002171      0.25274      0.44805 Mammary_Gland_Lactation.Secretory_alveoli_cell_Cgrrf1_high
Mammary_Gland_Lactation.Secr...11     COVAR   14594     0.016123    0.0011636      0.15158      0.45765 Mammary_Gland_Lactation.Secretory_alveoli_cell_Cide.Wfdc3.Wap_high
Mammary_Gland_Lactation.Secr...13     COVAR   14594      0.19735     0.011866      0.22675      0.19207 Mammary_Gland_Lactation.Secretory_alveoli_cell_Cidea_high
Mammary_Gland_Lactation.Secr...12     COVAR   14594      0.28526      0.01878      0.15794     0.035464 Mammary_Gland_Lactation.Secretory_alveoli_cell_Cidea.Elovl5_high
Mammary_Gland_Lactation.Secr...14     COVAR   14594     0.098802     0.007801      0.13493      0.23201 Mammary_Gland_Lactation.Secretory_alveoli_cell_Clu_high
Mammary_Gland_Lactation.Secr...15     COVAR   14594      0.22305     0.014301      0.17901      0.10639 Mammary_Gland_Lactation.Secretory_alveoli_cell_Cnp_high
Mammary_Gland_Lactation.Secr...16     COVAR   14594      0.25434     0.019754      0.12469     0.020695 Mammary_Gland_Lactation.Secretory_alveoli_cell_Crip1_high
Mammary_Gland_Lactation.Secr...17     COVAR   14594      0.11621    0.0095464      0.12852      0.18295 Mammary_Gland_Lactation.Secretory_alveoli_cell_Cyb561_high
Mammary_Gland_Lactation.Secr...18     COVAR   14594     0.014558    0.0010068      0.22342      0.47402 Mammary_Gland_Lactation.Secretory_alveoli_cell_Dnajb1_high
Mammary_Gland_Lactation.Secr...19     COVAR   14594    -0.065803   -0.0047917      0.18793      0.63688 Mammary_Gland_Lactation.Secretory_alveoli_cell_Ehf_high
Mammary_Gland_Lactation.Secr...20     COVAR   14594    -0.031701   -0.0028621      0.11157      0.61185 Mammary_Gland_Lactation.Secretory_alveoli_cell_Fcer1g_high
Mammary_Gland_Lactation.Secr...23     COVAR   14594    -0.066477   -0.0045409      0.15761       0.6634 Mammary_Gland_Lactation.Secretory_alveoli_cell_Fth1_high
Mammary_Gland_Lactation.Secr...21     COVAR   14594    -0.038141   -0.0043849     0.078108      0.68733 Mammary_Gland_Lactation.Secretory_alveoli_cell_Fth1.Cib1_high
Mammary_Gland_Lactation.Secr...22     COVAR   14594    -0.046465   -0.0036295      0.14612      0.62475 Mammary_Gland_Lactation.Secretory_alveoli_cell_Fth1.Wfdc3_high
Mammary_Gland_Lactation.Secr...24     COVAR   14594      0.10811    0.0069627      0.23753      0.32451 Mammary_Gland_Lactation.Secretory_alveoli_cell_Gadd45b_high
Mammary_Gland_Lactation.Secr...25     COVAR   14594     0.060675    0.0039524      0.20201      0.38196 Mammary_Gland_Lactation.Secretory_alveoli_cell_Ggnbp2_high
Mammary_Gland_Lactation.Secr...26     COVAR   14594    -0.066556   -0.0042929      0.23571      0.61116 Mammary_Gland_Lactation.Secretory_alveoli_cell_Gm1673_high
Mammary_Gland_Lactation.Secr...27     COVAR   14594     0.073465    0.0045195      0.23624      0.37791 Mammary_Gland_Lactation.Secretory_alveoli_cell_Gpx3_high
Mammary_Gland_Lactation.Secr...28     COVAR   14594      0.40838     0.026243      0.24645     0.048764 Mammary_Gland_Lactation.Secretory_alveoli_cell_Hes1_high
Mammary_Gland_Lactation.Secr...29     COVAR   14594      0.13642    0.0093539      0.21007      0.25804 Mammary_Gland_Lactation.Secretory_alveoli_cell_Hsp90aa1_high
Mammary_Gland_Lactation.Secr...30     COVAR   14594    0.0001648   1.0464e-05      0.23661      0.49972 Mammary_Gland_Lactation.Secretory_alveoli_cell_Hspa1a_high
Mammary_Gland_Lactation.Secr...31     COVAR   14594    -0.011286   -0.0011073      0.11553      0.53891 Mammary_Gland_Lactation.Secretory_alveoli_cell_Ifi27l2a_high
Mammary_Gland_Lactation.Secr...32     COVAR   14594     0.053635    0.0036222      0.21959      0.40352 Mammary_Gland_Lactation.Secretory_alveoli_cell_Ifi35_high
Mammary_Gland_Lactation.Secr...33     COVAR   14594     0.083128    0.0060423      0.17286       0.3153 Mammary_Gland_Lactation.Secretory_alveoli_cell_Igfbp7_high
Mammary_Gland_Lactation.Secr...34     COVAR   14594     0.067809    0.0042506      0.23237      0.38522 Mammary_Gland_Lactation.Secretory_alveoli_cell_Ighm1_high
Mammary_Gland_Lactation.Secr...36     COVAR   14594     -0.19875    -0.014088      0.15441      0.90097 Mammary_Gland_Lactation.Secretory_alveoli_cell_Igkv1.110_high
Mammary_Gland_Lactation.Secr...35     COVAR   14594     -0.11199   -0.0077576      0.16993      0.74506 Mammary_Gland_Lactation.Secretory_alveoli_cell_Igkv1.110.P4hb_high
