# MEAN_SAMPLE_SIZE = 2613
# TOTAL_GENES = 14594
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                               TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Bladder.Basal_epithelial_cell         COVAR   14594     0.068594     0.014678     0.073729       0.1761 Bladder.Basal_epithelial_cell
Bladder.Dendritic_cell_Cd74_...       COVAR   14594      0.15285     0.018993      0.11615     0.094089 Bladder.Dendritic_cell_Cd74_high
Bladder.Dendritic_cell_Lyz2_...       COVAR   14594      0.21603     0.031965      0.10806     0.022807 Bladder.Dendritic_cell_Lyz2_high
Bladder.Endothelial_cell_Ly6...       COVAR   14594     0.031487    0.0045802     0.092698      0.36706 Bladder.Endothelial_cell_Ly6c1_high
Bladder.Epithelial_cell_Gm23...       COVAR   14594      0.25832      0.03189      0.10565    0.0072467 Bladder.Epithelial_cell_Gm23935_high
Bladder.Epithelial_cell_Upk3...       COVAR   14594     0.062221    0.0094408     0.096822      0.26024 Bladder.Epithelial_cell_Upk3a_high
Bladder.Macrophage_Pf4_high           COVAR   14594       0.1517     0.020183     0.093507     0.052372 Bladder.Macrophage_Pf4_high
Bladder.Mesenchymal_stromal_...       COVAR   14594      -0.1421      -0.0193      0.10874      0.90436 Bladder.Mesenchymal_stromal_cell
Bladder.NK_cell                       COVAR   14594    -0.095924    -0.012924      0.11436      0.79919 Bladder.NK_cell
Bladder.Smooth_muscle_cell            COVAR   14594    -0.031323   -0.0039633      0.10891      0.61318 Bladder.Smooth_muscle_cell
Bladder.Stromal_cell_Car3_hi...       COVAR   14594     -0.12632    -0.019802     0.093161      0.91243 Bladder.Stromal_cell_Car3_high
Bladder.Stromal_cell_Dpt_high         COVAR   14594     -0.13149    -0.020332     0.089996      0.92799 Bladder.Stromal_cell_Dpt_high
Bladder.Umbrella_cell                 COVAR   14594     0.043625     0.021036      0.03127     0.081501 Bladder.Umbrella_cell
Bladder.Urothelium                    COVAR   14594     0.060095     0.018765     0.049086      0.11043 Bladder.Urothelium
Bladder.Vascular_endothelial...       COVAR   14594    -0.039316      -0.0054      0.10706      0.64328 Bladder.Vascular_endothelial_cell
Bladder.Vascular_smooth_musc...       COVAR   14594    -0.062192    -0.009141     0.075411      0.79522 Bladder.Vascular_smooth_muscle_progenitor_cell
Bone_Marrow.B_cell                    COVAR   14594    -0.046912   -0.0061342      0.14594      0.62606 Bone_Marrow.B_cell
Bone_Marrow.B_cell_Igkc_high          COVAR   14594   -0.0060008  -0.00082314     0.081559      0.52933 Bone_Marrow.B_cell_Igkc_high
Bone_Marrow.Basophil                  COVAR   14594    -0.094233    -0.014094      0.11931      0.78518 Bone_Marrow.Basophil
Bone_Marrow.Basophils                 COVAR   14594     -0.22856    -0.032104      0.14401      0.94374 Bone_Marrow.Basophils
Bone_Marrow.CXCL12.abundant_...       COVAR   14594     0.044042    0.0069959     0.094419      0.32045 Bone_Marrow.CXCL12.abundant_reticular_cell
Bone_Marrow.Dendritic_cell_S...       COVAR   14594     0.087721      0.01387     0.069528      0.10355 Bone_Marrow.Dendritic_cell_Siglech_high
Bone_Marrow.Endothelial_cells         COVAR   14594    -0.088817      -0.0138      0.11375      0.78253 Bone_Marrow.Endothelial_cells
Bone_Marrow.Endothelial_cell...       COVAR   14594     -0.12369    -0.014395      0.16074       0.7792 Bone_Marrow.Endothelial_cells_Ly6c1_high
Bone_Marrow.Eosinophil_proge...       COVAR   14594    -0.073282   -0.0098337      0.10561      0.75612 Bone_Marrow.Eosinophil_progenitor_cell
Bone_Marrow.Eosinophils               COVAR   14594     -0.29661    -0.038866      0.11386       0.9954 Bone_Marrow.Eosinophils
Bone_Marrow.Erythroblast              COVAR   14594     0.023946    0.0033875      0.11212      0.41544 Bone_Marrow.Erythroblast
Bone_Marrow.Erythrocyte_prog...1      COVAR   14594    -0.028035   -0.0055549     0.086161      0.62755 Bone_Marrow.Erythrocyte_progenitor_Car1_high
Bone_Marrow.Erythrocyte_prog...2      COVAR   14594     0.034206    0.0072828     0.068636      0.30912 Bone_Marrow.Erythrocyte_progenitor_Hba.a1_high
Bone_Marrow.Erythrocytes              COVAR   14594   -0.0042546  -0.00071854     0.092831      0.51828 Bone_Marrow.Erythrocytes
Bone_Marrow.Fibroblasts               COVAR   14594    -0.046562   -0.0066466      0.10916      0.66514 Bone_Marrow.Fibroblasts
Bone_Marrow.Granulocyte_mono...       COVAR   14594     -0.11452    -0.019233     0.083828      0.91404 Bone_Marrow.Granulocyte_monocyte_progenitors
Bone_Marrow.Hematopoietic_st...       COVAR   14594    -0.035322   -0.0072119     0.066285      0.70294 Bone_Marrow.Hematopoietic_stem_progenitor_cell
Bone_Marrow.Macrophage_C1qc_...       COVAR   14594     -0.03153   -0.0039448      0.11008      0.61272 Bone_Marrow.Macrophage_C1qc_high
Bone_Marrow.Macrophage_Cd74_...       COVAR   14594    -0.015978   -0.0022727      0.10847      0.55855 Bone_Marrow.Macrophage_Cd74_high
Bone_Marrow.Macrophage_Ms4a6...       COVAR   14594      0.06576      0.01521     0.061392      0.14206 Bone_Marrow.Macrophage_Ms4a6c_high
Bone_Marrow.Macrophage_S100a...       COVAR   14594      0.10162     0.014798     0.094596      0.14136 Bone_Marrow.Macrophage_S100a4_high
Bone_Marrow.Megakaryocyte             COVAR   14594    -0.016386   -0.0034166     0.067082      0.59649 Bone_Marrow.Megakaryocyte
Bone_Marrow.Megakaryocyte_pr...       COVAR   14594    -0.036858   -0.0057552      0.11045       0.6307 Bone_Marrow.Megakaryocyte_progenitor_cell
Bone_Marrow.Monocyte_progeni...1      COVAR   14594    -0.039361   -0.0069116      0.11521      0.63369 Bone_Marrow.Monocyte_progenitor
Bone_Marrow.Monocyte_progeni...2      COVAR   14594     -0.04416    -0.009455     0.086824      0.69448 Bone_Marrow.Monocyte_progenitor_cell_Ctsg_high
Bone_Marrow.Monocyte_progeni...3      COVAR   14594     -0.14844    -0.022048      0.12359      0.88513 Bone_Marrow.Monocyte_progenitor_cell_Prtn3_high
Bone_Marrow.Monocyte_Prtn3_h...       COVAR   14594     0.024788    0.0097433     0.032512      0.22291 Bone_Marrow.Monocyte_Prtn3_high
Bone_Marrow.MSC                       COVAR   14594    -0.070067   -0.0091233      0.12147      0.71797 Bone_Marrow.MSC
Bone_Marrow.Multipotent_prog...       COVAR   14594     -0.13841     -0.02131      0.13064       0.8553 Bone_Marrow.Multipotent_progenitor_Ctla2a_high
Bone_Marrow.Myoblast                  COVAR   14594     -0.12684    -0.018642     0.099744      0.89825 Bone_Marrow.Myoblast
Bone_Marrow.Neutrophil                COVAR   14594     -0.14717    -0.021334      0.13906      0.85503 Bone_Marrow.Neutrophil
Bone_Marrow.Neutrophil_proge...       COVAR   14594    -0.010874   -0.0011786     0.098695      0.54387 Bone_Marrow.Neutrophil_progenitor
Bone_Marrow.Neutrophil_Cebpe...       COVAR   14594      0.01109    0.0022381     0.055379      0.42064 Bone_Marrow.Neutrophil_Cebpe_high
Bone_Marrow.Neutrophil_Fcnb_...       COVAR   14594     0.011765    0.0015881       0.1131      0.45858 Bone_Marrow.Neutrophil_Fcnb_high
Bone_Marrow.Neutrophil_Ighg1...       COVAR   14594     0.041156     0.004379      0.14397      0.38749 Bone_Marrow.Neutrophil_Ighg1_high
Bone_Marrow.Neutrophil_Lcn2_...       COVAR   14594    -0.050465   -0.0051566      0.16088      0.62312 Bone_Marrow.Neutrophil_Lcn2_high
Bone_Marrow.Neutrophil_Ltf_h...       COVAR   14594      0.03856    0.0048622      0.10405      0.35548 Bone_Marrow.Neutrophil_Ltf_high
Bone_Marrow.Neutrophil_Mmp8_...       COVAR   14594     0.060367    0.0077622     0.085085      0.23902 Bone_Marrow.Neutrophil_Mmp8_high
Bone_Marrow.Neutrophil_Ngp_h...       COVAR   14594     0.018369    0.0019902      0.11351      0.43572 Bone_Marrow.Neutrophil_Ngp_high
Bone_Marrow.Neutrophil_Retnl...       COVAR   14594     0.035214    0.0041376     0.099953      0.36231 Bone_Marrow.Neutrophil_Retnlg_high
Bone_Marrow.Osteoblasts               COVAR   14594    -0.076553    -0.010349      0.11331      0.75035 Bone_Marrow.Osteoblasts
Bone_Marrow.Pre.pro_B_cell            COVAR   14594    0.0094418    0.0012327      0.10453      0.46402 Bone_Marrow.Pre.pro_B_cell
Bone_Marrow.Proerythrocytes           COVAR   14594    -0.038065   -0.0073905     0.088171      0.66702 Bone_Marrow.Proerythrocytes
Bone_Marrow.Stromal_cell_Cnm...       COVAR   14594    -0.094748    -0.015824     0.094821      0.84115 Bone_Marrow.Stromal_cell_Cnmd_high
Bone_Marrow.Stromal_cell_Col...1      COVAR   14594    -0.075046    -0.012964     0.086751      0.80649 Bone_Marrow.Stromal_cell_Col10a1_high
Bone_Marrow.Stromal_cell_Col...2      COVAR   14594    -0.085924     -0.01226      0.11374      0.77501 Bone_Marrow.Stromal_cell_Col1a2_high
Bone_Marrow.T_cell_Ms4a4b_hi...       COVAR   14594     0.033477    0.0033583      0.12786      0.39673 Bone_Marrow.T_cell_Ms4a4b_high
Brain.Astrocyte_Atp1b2_high           COVAR   14594      0.27044     0.024474      0.11441    0.0090533 Brain.Astrocyte_Atp1b2_high
Brain.Astrocyte_Mfe8_high             COVAR   14594      0.23167      0.02267      0.11144     0.018818 Brain.Astrocyte_Mfe8_high
Brain.Astrocyte_Pla2g7_high           COVAR   14594      0.02234    0.0025992     0.080818      0.39111 Brain.Astrocyte_Pla2g7_high
Brain.Astroglial_cell                 COVAR   14594      0.16631     0.022935     0.076718     0.015094 Brain.Astroglial_cell
Brain.Granulocyte_Il33_high           COVAR   14594      0.10642     0.014029     0.073596     0.074108 Brain.Granulocyte_Il33_high
Brain.Granulocyte_Ngp_high            COVAR   14594   -0.0033356  -0.00073178     0.041289      0.53219 Brain.Granulocyte_Ngp_high
Brain.Hypothalamic_ependymal...       COVAR   14594    0.0099033    0.0019394     0.053415      0.42646 Brain.Hypothalamic_ependymal_cell
Brain.Macrophage_Klf2_high            COVAR   14594      0.15942     0.017013       0.1126     0.078426 Brain.Macrophage_Klf2_high
Brain.Macrophage_Lyz2_high            COVAR   14594      0.23599     0.030561      0.11099     0.016747 Brain.Macrophage_Lyz2_high
Brain.Microglia                       COVAR   14594     0.061216    0.0058048       0.1285       0.3169 Brain.Microglia
Brain.Myelinating_oligodendr...       COVAR   14594      0.31904     0.036974     0.099337   0.00066119 Brain.Myelinating_oligodendrocyte
Brain.Neuron                          COVAR   14594      0.31196     0.023307      0.12674    0.0069257 Brain.Neuron
Brain.Oligodendrocyte_precur...       COVAR   14594      0.39375     0.046215       0.1022   5.8639e-05 Brain.Oligodendrocyte_precursor_cell
Brain.Pan.GABAergic                   COVAR   14594      0.18762     0.023125      0.10141     0.032154 Brain.Pan.GABAergic
Brain.Schwann_cell                    COVAR   14594     0.071271     0.014918     0.057388      0.10714 Brain.Schwann_cell
Kidney.B_cell                         COVAR   14594    -0.027894   -0.0044687     0.067831      0.65955 Kidney.B_cell
Kidney.Dendritic_cell_Ccr7_h...       COVAR   14594     0.032232    0.0040567     0.099594      0.37311 Kidney.Dendritic_cell_Ccr7_high
Kidney.Dendritic_cell_Cst3_h...       COVAR   14594     0.046615    0.0051457      0.12008      0.34894 Kidney.Dendritic_cell_Cst3_high
Kidney.Distal_collecting_duc...1      COVAR   14594      0.11919     0.014553      0.10923      0.13761 Kidney.Distal_collecting_duct_principal_cell_Cldn4_high
Kidney.Distal_collecting_duc...2      COVAR   14594     0.010082    0.0010952      0.12671      0.46829 Kidney.Distal_collecting_duct_principal_cell_Hsd11b2_high
Kidney.Distal_convoluted_tub...1      COVAR   14594      0.12549     0.014375      0.12277      0.15336 Kidney.Distal_convoluted_tubule_Pvalb_high
Kidney.Distal_convoluted_tub...2      COVAR   14594    -0.021587   -0.0023639      0.12769      0.56713 Kidney.Distal_convoluted_tubule_S100g_high
Kidney.Endothelial_cell               COVAR   14594    -0.024639    -0.003675     0.095766      0.60152 Kidney.Endothelial_cell
Kidney.Epithelial_cell_Cryab...       COVAR   14594     0.032978    0.0040596      0.11101      0.38321 Kidney.Epithelial_cell_Cryab_high
Kidney.Fenestrated_endotheli...1      COVAR   14594     0.031358    0.0036463      0.11325      0.39093 Kidney.Fenestrated_endothelial_cell_Plvap_high
Kidney.Fenestrated_endotheli...2      COVAR   14594     -0.23123    -0.022877      0.13413      0.95763 Kidney.Fenestrated_endothelial_cell_Tm4sf1_high
Kidney.Intercalated_cells_of...1      COVAR   14594    -0.062449    -0.007341      0.12288      0.69434 Kidney.Intercalated_cells_of_collecting_duct_Aqp6_high
Kidney.Intercalated_cells_of...2      COVAR   14594    -0.059943   -0.0069787      0.12342       0.6864 Kidney.Intercalated_cells_of_collecting_duct_Slc26a4_high
Kidney.Macrophage_Ccl4_high           COVAR   14594      0.10133     0.012588      0.12853      0.21524 Kidney.Macrophage_Ccl4_high
Kidney.Macrophage_Lyz2_high           COVAR   14594     0.044103    0.0079658     0.067685      0.25734 Kidney.Macrophage_Lyz2_high
Kidney.Neutrophil_progenitor...       COVAR   14594     0.018648    0.0034077     0.053149      0.36285 Kidney.Neutrophil_progenitor_S100a8_high
Kidney.Proximal_tubule_brush...       COVAR   14594     -0.01278    -0.001768     0.089672      0.55666 Kidney.Proximal_tubule_brush_border_cell
Kidney.Proximal_tubule_cell_...1      COVAR   14594     0.012454     0.001545     0.099087      0.44999 Kidney.Proximal_tubule_cell_Cyp4a14_high
Kidney.Proximal_tubule_cell_...2      COVAR   14594    -0.079997    -0.010581     0.098297      0.79212 Kidney.Proximal_tubule_cell_Osgin1_high
Kidney.S1_proximal_tubule_ce...       COVAR   14594     0.037425    0.0049678     0.095982       0.3483 Kidney.S1_proximal_tubule_cells
Kidney.S3_proximal_tubule_ce...       COVAR   14594     0.022946    0.0036161     0.080533      0.38785 Kidney.S3_proximal_tubule_cells
Kidney.Stromal_cell_Ankrd1_h...       COVAR   14594     0.034752    0.0036203      0.10968      0.37568 Kidney.Stromal_cell_Ankrd1_high
Kidney.Stromal_cell_Cxcl10_h...       COVAR   14594     0.043627    0.0058879     0.089216      0.31242 Kidney.Stromal_cell_Cxcl10_high
Kidney.Stromal_cell_Dcn_high          COVAR   14594     -0.16409    -0.022771        0.102      0.94614 Kidney.Stromal_cell_Dcn_high
Kidney.Stromal_cell_Mgp_high          COVAR   14594    -0.048774   -0.0070287      0.07957      0.73005 Kidney.Stromal_cell_Mgp_high
Kidney.Stromal_cell_Ptgds_hi...       COVAR   14594     0.041552      0.00484      0.13226       0.3767 Kidney.Stromal_cell_Ptgds_high
Kidney.T_cell                         COVAR   14594    -0.075856   -0.0084498      0.13705      0.71003 Kidney.T_cell
Kidney.Thick_ascending_limb_...       COVAR   14594     0.025315    0.0026713      0.13582      0.42607 Kidney.Thick_ascending_limb_of_the_loop_of_Henle
Kidney.Ureteric_epithelium            COVAR   14594     0.022804    0.0033734     0.093677      0.40384 Kidney.Ureteric_epithelium
Liver.B_cell_Fcmr_high                COVAR   14594      0.16763     0.016632       0.1336      0.10481 Liver.B_cell_Fcmr_high
Liver.B_cell_Jchain_high              COVAR   14594     0.026363    0.0032326      0.10288      0.39888 Liver.B_cell_Jchain_high
Liver.Dendritic_cell_Cst3_hi...       COVAR   14594      0.26271      0.02709       0.1461     0.036088 Liver.Dendritic_cell_Cst3_high
Liver.Dendritic_cell_Siglech...       COVAR   14594      0.20346     0.021322       0.1235     0.049742 Liver.Dendritic_cell_Siglech_high
Liver.Endothelial_cell                COVAR   14594      0.23242     0.021097      0.14268      0.05167 Liver.Endothelial_cell
Liver.Epithelia_cell_Spp1_hi...       COVAR   14594     -0.07617   -0.0075329       0.1474      0.69734 Liver.Epithelia_cell_Spp1_high
Liver.Epithelial_cell                 COVAR   14594    0.0081414    0.0013904     0.071494      0.45467 Liver.Epithelial_cell
Liver.Erythroblast_Hbb.bs_hi...       COVAR   14594      0.23249     0.020591      0.15041     0.061099 Liver.Erythroblast_Hbb.bs_high
