# MEAN_SAMPLE_SIZE = 2613
# TOTAL_GENES = 14594
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                              TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Fetal_Brain.Radial_glia_Vim_...      COVAR   14594    -0.041892   -0.0039653      0.21783      0.57625 Fetal_Brain.Radial_glia_Vim_high
Fetal_Brain.Schwann_cell             COVAR   14594     0.089952    0.0085989      0.15813      0.28473 Fetal_Brain.Schwann_cell
Fetal_Brain.Stromal_cell             COVAR   14594    -0.087721   -0.0096363      0.17931      0.68765 Fetal_Brain.Stromal_cell
Fetal_Intestine.Acinar_cell          COVAR   14594    -0.080689    -0.013274      0.11972      0.74984 Fetal_Intestine.Acinar_cell
Fetal_Intestine.Endothelial_...      COVAR   14594     -0.27117     -0.03206      0.13294      0.97931 Fetal_Intestine.Endothelial_cell
Fetal_Intestine.Enteric_musc...      COVAR   14594     -0.39588    -0.041339      0.21694      0.96598 Fetal_Intestine.Enteric_muscle_cell
Fetal_Intestine.Enterocyte_p...1     COVAR   14594     -0.38618    -0.038955      0.27078      0.92308 Fetal_Intestine.Enterocyte_progenitor
Fetal_Intestine.Enterocyte_p...2     COVAR   14594     -0.11447    -0.012465      0.18368      0.73343 Fetal_Intestine.Enterocyte_progenitor_late_Ccnb1_high
Fetal_Intestine.Enterocyte_p...3     COVAR   14594     -0.36896    -0.042987      0.20768      0.96217 Fetal_Intestine.Enterocyte_progenitor_late_Ube2c_high
Fetal_Intestine.Enteroendocr...      COVAR   14594      0.10575     0.012935       0.1141      0.17702 Fetal_Intestine.Enteroendocrine
Fetal_Intestine.Epithelial_c...1     COVAR   14594     0.082572     0.010066      0.19206      0.33362 Fetal_Intestine.Epithelial_cell_Bex1_high
Fetal_Intestine.Epithelial_c...2     COVAR   14594    0.0074564   0.00095578       0.1826      0.48371 Fetal_Intestine.Epithelial_cell_Lgals2_high
Fetal_Intestine.Erythroblast...1     COVAR   14594    -0.049746   -0.0077107     0.088081      0.71388 Fetal_Intestine.Erythroblast_Car2_high
Fetal_Intestine.Erythroblast...2     COVAR   14594     -0.26469    -0.030775        0.203      0.90386 Fetal_Intestine.Erythroblast_Hbb.bs_high
Fetal_Intestine.Erythroblast...3     COVAR   14594     -0.31205    -0.038642      0.15847      0.97552 Fetal_Intestine.Erythroblast_Hbb.y_high
Fetal_Intestine.Macrophage_L...      COVAR   14594     0.083352     0.010381      0.17964      0.32133 Fetal_Intestine.Macrophage_Lyz2_high
Fetal_Intestine.Macrophage_P...      COVAR   14594      0.33788     0.038426      0.18027     0.030459 Fetal_Intestine.Macrophage_Pf4_high
Fetal_Intestine.Neuronal_cel...      COVAR   14594     -0.22533    -0.025504      0.21955      0.84762 Fetal_Intestine.Neuronal_cell_Fabp7_high
Fetal_Intestine.Neuronal_Cel...      COVAR   14594    -0.012562   -0.0014825      0.16578       0.5302 Fetal_Intestine.Neuronal_Cells_Rtn1_high
Fetal_Intestine.Stromal_cell...1     COVAR   14594     -0.57362    -0.059203      0.26712      0.98411 Fetal_Intestine.Stromal_cell_Adamdec1_high
Fetal_Intestine.Stromal_cell...2     COVAR   14594     -0.22127    -0.024102      0.21602      0.84714 Fetal_Intestine.Stromal_cell_Stmn2_high_
Fetal_Intestine.Stromal_cell...3     COVAR   14594     -0.26901     -0.02661      0.20841      0.90159 Fetal_Intestine.Stromal_cell_Upk3b_high
Fetal_Intestine.T_cell               COVAR   14594     -0.14463     -0.01881       0.1613      0.81504 Fetal_Intestine.T_cell
Fetal_Kidney.Stromal_cell_Mg...      COVAR   14594     -0.01346   -0.0030771     0.040811      0.62923 Fetal_Kidney.Stromal_cell_Mgp_high
Fetal_Liver.B_cell                   COVAR   14594      0.11845     0.019868     0.091024     0.096587 Fetal_Liver.B_cell
Fetal_Liver.Dendritic_cell           COVAR   14594      0.05714    0.0079494      0.14723      0.34897 Fetal_Liver.Dendritic_cell
Fetal_Liver.Erythroblast_Hba...      COVAR   14594     0.072745    0.0092654      0.10455      0.24328 Fetal_Liver.Erythroblast_Hba.a2_high
Fetal_Liver.Erythroblast_Klf...      COVAR   14594     0.035235    0.0054002      0.11746       0.3821 Fetal_Liver.Erythroblast_Klf1_high
Fetal_Liver.Hepatocyte_Afp_h...      COVAR   14594     -0.10526    -0.014863       0.1006      0.85229 Fetal_Liver.Hepatocyte_Afp_high
Fetal_Liver.Macrophage               COVAR   14594      0.25385     0.035193      0.11877     0.016294 Fetal_Liver.Macrophage
Fetal_Liver.Mast_cell_Mcpt8_...      COVAR   14594    -0.048418   -0.0067025      0.12153      0.65483 Fetal_Liver.Mast_cell_Mcpt8_high
Fetal_Liver.Megakaryocyte            COVAR   14594     0.063835    0.0097004      0.10663       0.2747 Fetal_Liver.Megakaryocyte
Fetal_Liver.Neutrophil_Elane...      COVAR   14594    -0.075734    -0.010777      0.13779       0.7087 Fetal_Liver.Neutrophil_Elane_high
Fetal_Liver.Neutrophil_Ngp_h...      COVAR   14594    -0.010849   -0.0017803     0.088453      0.54881 Fetal_Liver.Neutrophil_Ngp_high
Fetal_Liver.Stem_and_progeni...      COVAR   14594     -0.13591    -0.019295      0.14999      0.81756 Fetal_Liver.Stem_and_progenitor_cell
Fetal_Lung.Epithelial_cell_A...      COVAR   14594     -0.24834    -0.030242      0.17601      0.92085 Fetal_Lung.Epithelial_cell_Aldh1a2_high
Fetal_Lung.Epithelial_cell_S...      COVAR   14594      -0.4636    -0.056229       0.2078      0.98715 Fetal_Lung.Epithelial_cell_Sftpc_high
Fetal_Lung.Erythroblast_Hba....      COVAR   14594     -0.42356    -0.050345      0.18948      0.98729 Fetal_Lung.Erythroblast_Hba.x_high
Fetal_Lung.Erythroblast_Hbb....      COVAR   14594     -0.24075    -0.029277        0.191      0.89625 Fetal_Lung.Erythroblast_Hbb.bs_high
Fetal_Lung.Erythroblast_Mt2_...      COVAR   14594     0.066423     0.009094      0.13094      0.30598 Fetal_Lung.Erythroblast_Mt2_high
Fetal_Lung.Erythroblast_Mt2....      COVAR   14594    -0.024766   -0.0038058       0.1221      0.58037 Fetal_Lung.Erythroblast_Mt2.Mt1_high
Fetal_Lung.Macrophage_Lyz2_h...      COVAR   14594      0.16385     0.021373       0.1593      0.15186 Fetal_Lung.Macrophage_Lyz2_high
Fetal_Lung.Macrophage_Pf4high        COVAR   14594      0.25744     0.031173       0.1607     0.054593 Fetal_Lung.Macrophage_Pf4high
Fetal_Lung.Neutrophil_Gm5483...      COVAR   14594     -0.34411     -0.03709       0.1794      0.97244 Fetal_Lung.Neutrophil_Gm5483_high
Fetal_Lung.Neutrophil_S100a8...      COVAR   14594     -0.34642    -0.050398      0.15548      0.98706 Fetal_Lung.Neutrophil_S100a8_high
