Index PThresh FE EmpPval NAnnotThesh NAnnot NThresh N Annotation Celltype Tissue Category 
6 0.01 1.2753 -1 3430 227802 17871 1513647 blueprint_neut_K4ME1_log2rpm_fdr0.05 neut_K4ME1 blueprint all all2
6 0.001 1.59603 -1 576 227802 2398 1513647 blueprint_neut_K4ME1_log2rpm_fdr0.05 neut_K4ME1 blueprint all all2
6 0.0001 2.52616 -1 165 227802 434 1513647 blueprint_neut_K4ME1_log2rpm_fdr0.05 neut_K4ME1 blueprint all all2
6 1e-05 3.49948 0 79 227802 150 1513647 blueprint_neut_K4ME1_log2rpm_fdr0.05 neut_K4ME1 blueprint all all2
6 1e-06 3.23249 0 36 227802 74 1513647 blueprint_neut_K4ME1_log2rpm_fdr0.05 neut_K4ME1 blueprint all all2
6 1e-07 2.38523 0.0990099 14 227802 39 1513647 blueprint_neut_K4ME1_log2rpm_fdr0.05 neut_K4ME1 blueprint all all2
6 1e-08 1.86048 0.475248 7 227802 25 1513647 blueprint_neut_K4ME1_log2rpm_fdr0.05 neut_K4ME1 blueprint all all2
7 0.1 1.15327 -1 17698 146605 158441 1513647 blueprint_neut_gene_nor_combat_fdr0.05 neut_gene blueprint all all2
7 0.01 1.47322 -1 2550 146605 17871 1513647 blueprint_neut_gene_nor_combat_fdr0.05 neut_gene blueprint all all2
7 0.001 1.83416 -1 426 146605 2398 1513647 blueprint_neut_gene_nor_combat_fdr0.05 neut_gene blueprint all all2
7 0.0001 3.28296 -1 138 146605 434 1513647 blueprint_neut_gene_nor_combat_fdr0.05 neut_gene blueprint all all2
7 1e-05 4.40519 0 64 146605 150 1513647 blueprint_neut_gene_nor_combat_fdr0.05 neut_gene blueprint all all2
7 1e-06 4.88329 0 35 146605 74 1513647 blueprint_neut_gene_nor_combat_fdr0.05 neut_gene blueprint all all2
7 1e-07 5.55943 0 21 146605 39 1513647 blueprint_neut_gene_nor_combat_fdr0.05 neut_gene blueprint all all2
7 1e-08 5.36882 0.000145073 13 146605 25 1513647 blueprint_neut_gene_nor_combat_fdr0.05 neut_gene blueprint all all2
