Index PThresh FE EmpPval NAnnotThesh NAnnot NThresh N Annotation Celltype Tissue Type Category
0 0.1 1.10505 -1 21484 185301 159321 1518507 blueprint_mono_K27AC_log2rpm_fdr0.05 mono aceQTL blueprint1 blueprint
0 0.01 1.36686 -1 3014 185301 18070 1518507 blueprint_mono_K27AC_log2rpm_fdr0.05 mono aceQTL blueprint1 blueprint
0 0.001 1.87081 -1 560 185301 2453 1518507 blueprint_mono_K27AC_log2rpm_fdr0.05 mono aceQTL blueprint1 blueprint
0 0.0001 2.99289 -1 168 185301 460 1518507 blueprint_mono_K27AC_log2rpm_fdr0.05 mono aceQTL blueprint1 blueprint
0 1e-05 4.41637 0 90 185301 167 1518507 blueprint_mono_K27AC_log2rpm_fdr0.05 mono aceQTL blueprint1 blueprint
0 1e-06 4.91689 0 51 185301 85 1518507 blueprint_mono_K27AC_log2rpm_fdr0.05 mono aceQTL blueprint1 blueprint
0 1e-07 4.98815 0 28 185301 46 1518507 blueprint_mono_K27AC_log2rpm_fdr0.05 mono aceQTL blueprint1 blueprint
0 1e-08 5.28698 0 20 185301 31 1518507 blueprint_mono_K27AC_log2rpm_fdr0.05 mono aceQTL blueprint1 blueprint
1 0.1 1.08031 -1 35380 312142 159321 1518507 blueprint_mono_K4ME1_log2rpm_fdr0.05 mono aceQTL blueprint1 blueprint
1 0.01 1.26291 -1 4691 312142 18070 1518507 blueprint_mono_K4ME1_log2rpm_fdr0.05 mono aceQTL blueprint1 blueprint
1 0.001 1.61234 -1 813 312142 2453 1518507 blueprint_mono_K4ME1_log2rpm_fdr0.05 mono aceQTL blueprint1 blueprint
1 0.0001 2.33722 -1 221 312142 460 1518507 blueprint_mono_K4ME1_log2rpm_fdr0.05 mono aceQTL blueprint1 blueprint
1 1e-05 3.20436 0 110 312142 167 1518507 blueprint_mono_K4ME1_log2rpm_fdr0.05 mono aceQTL blueprint1 blueprint
1 1e-06 3.60567 0 63 312142 85 1518507 blueprint_mono_K4ME1_log2rpm_fdr0.05 mono aceQTL blueprint1 blueprint
1 1e-07 3.59572 0 34 312142 46 1518507 blueprint_mono_K4ME1_log2rpm_fdr0.05 mono aceQTL blueprint1 blueprint
1 1e-08 3.76629 0 24 312142 31 1518507 blueprint_mono_K4ME1_log2rpm_fdr0.05 mono aceQTL blueprint1 blueprint
2 0.1 1.14001 -1 20352 170154 159321 1518507 blueprint_mono_gene_nor_combat_fdr0.05 mono eQTL blueprint1 blueprint
2 0.01 1.48261 -1 3002 170154 18070 1518507 blueprint_mono_gene_nor_combat_fdr0.05 mono eQTL blueprint1 blueprint
2 0.001 2.12466 -1 584 170154 2453 1518507 blueprint_mono_gene_nor_combat_fdr0.05 mono eQTL blueprint1 blueprint
2 0.0001 3.72493 -1 192 170154 460 1518507 blueprint_mono_gene_nor_combat_fdr0.05 mono eQTL blueprint1 blueprint
2 1e-05 5.61109 0 105 170154 167 1518507 blueprint_mono_gene_nor_combat_fdr0.05 mono eQTL blueprint1 blueprint
2 1e-06 5.98454 0 57 170154 85 1518507 blueprint_mono_gene_nor_combat_fdr0.05 mono eQTL blueprint1 blueprint
2 1e-07 6.01421 0 31 170154 46 1518507 blueprint_mono_gene_nor_combat_fdr0.05 mono eQTL blueprint1 blueprint
2 1e-08 6.62126 0 23 170154 31 1518507 blueprint_mono_gene_nor_combat_fdr0.05 mono eQTL blueprint1 blueprint
3 0.1 1.0655 -1 50735 453837 159321 1518507 blueprint_mono_meth_M_fdr0.05 mono mQTL blueprint1 blueprint
3 0.01 1.20265 -1 6495 453837 18070 1518507 blueprint_mono_meth_M_fdr0.05 mono mQTL blueprint1 blueprint
3 0.001 1.45268 -1 1065 453837 2453 1518507 blueprint_mono_meth_M_fdr0.05 mono mQTL blueprint1 blueprint
3 0.0001 1.8839 -1 259 453837 460 1518507 blueprint_mono_meth_M_fdr0.05 mono mQTL blueprint1 blueprint
3 1e-05 2.40426 0 120 453837 167 1518507 blueprint_mono_meth_M_fdr0.05 mono mQTL blueprint1 blueprint
3 1e-06 2.55865 0 65 453837 85 1518507 blueprint_mono_meth_M_fdr0.05 mono mQTL blueprint1 blueprint
3 1e-07 2.54582 0.000104671 35 453837 46 1518507 blueprint_mono_meth_M_fdr0.05 mono mQTL blueprint1 blueprint
3 1e-08 2.69833 0.000223649 25 453837 31 1518507 blueprint_mono_meth_M_fdr0.05 mono mQTL blueprint1 blueprint
4 0.1 1.31299 -1 5373 39003 159321 1518507 blueprint_mono_psi_fdr0.05 mono psiQTL blueprint1 blueprint
4 0.01 2.0727 -1 962 39003 18070 1518507 blueprint_mono_psi_fdr0.05 mono psiQTL blueprint1 blueprint
4 0.001 3.28543 -1 207 39003 2453 1518507 blueprint_mono_psi_fdr0.05 mono psiQTL blueprint1 blueprint
4 0.0001 4.57041 -1 54 39003 460 1518507 blueprint_mono_psi_fdr0.05 mono psiQTL blueprint1 blueprint
4 1e-05 6.29457 0 27 39003 167 1518507 blueprint_mono_psi_fdr0.05 mono psiQTL blueprint1 blueprint
4 1e-06 7.32858 2e-05 16 39003 85 1518507 blueprint_mono_psi_fdr0.05 mono psiQTL blueprint1 blueprint
4 1e-07 8.46371 0.000524027 10 39003 46 1518507 blueprint_mono_psi_fdr0.05 mono psiQTL blueprint1 blueprint
4 1e-08 7.53544 0.0153374 6 39003 31 1518507 blueprint_mono_psi_fdr0.05 mono psiQTL blueprint1 blueprint
5 0.1 1.13059 -1 18620 156971 159321 1518507 blueprint_neut_K27AC_log2rpm_fdr0.05 neut aceQTL blueprint1 blueprint
5 0.01 1.4144 -1 2642 156971 18070 1518507 blueprint_neut_K27AC_log2rpm_fdr0.05 neut aceQTL blueprint1 blueprint
