Index PThresh FE EmpPval NAnnotThesh NAnnot NThresh N Annotation Celltype Tissue Type Category
5 1e-07 3.2885 0.267327 9 14683 49 262885 blueprint_neut_K27AC_log2rpm_fdr0.05 neut aceQTL blueprint1 blueprint
5 1e-08 2.98401 0.49505 7 14683 42 262885 blueprint_neut_K27AC_log2rpm_fdr0.05 neut aceQTL blueprint1 blueprint
6 0.1 1.42849 -1 7948 21544 67892 262885 blueprint_neut_K4ME1_log2rpm_fdr0.05 neut aceQTL blueprint1 blueprint
6 0.01 1.83846 -1 1753 21544 11635 262885 blueprint_neut_K4ME1_log2rpm_fdr0.05 neut aceQTL blueprint1 blueprint
6 0.001 2.34535 -1 365 21544 1899 262885 blueprint_neut_K4ME1_log2rpm_fdr0.05 neut aceQTL blueprint1 blueprint
6 0.0001 2.88655 -1 88 21544 372 262885 blueprint_neut_K4ME1_log2rpm_fdr0.05 neut aceQTL blueprint1 blueprint
6 1e-05 3.92215 0.00102701 36 21544 112 262885 blueprint_neut_K4ME1_log2rpm_fdr0.05 neut aceQTL blueprint1 blueprint
6 1e-06 3.30908 0.0943396 16 21544 59 262885 blueprint_neut_K4ME1_log2rpm_fdr0.05 neut aceQTL blueprint1 blueprint
6 1e-07 3.48635 0.128713 14 21544 49 262885 blueprint_neut_K4ME1_log2rpm_fdr0.05 neut aceQTL blueprint1 blueprint
6 1e-08 3.48635 0.0746269 12 21544 42 262885 blueprint_neut_K4ME1_log2rpm_fdr0.05 neut aceQTL blueprint1 blueprint
7 0.1 1.4599 -1 5249 13922 67892 262885 blueprint_neut_gene_nor_combat_fdr0.05 neut eQTL blueprint1 blueprint
7 0.01 2.04488 -1 1260 13922 11635 262885 blueprint_neut_gene_nor_combat_fdr0.05 neut eQTL blueprint1 blueprint
7 0.001 2.82395 -1 284 13922 1899 262885 blueprint_neut_gene_nor_combat_fdr0.05 neut eQTL blueprint1 blueprint
7 0.0001 3.65472 -1 72 13922 372 262885 blueprint_neut_gene_nor_combat_fdr0.05 neut eQTL blueprint1 blueprint
7 1e-05 5.73225 1e-05 34 13922 112 262885 blueprint_neut_gene_nor_combat_fdr0.05 neut eQTL blueprint1 blueprint
7 1e-06 5.76082 0.00305904 18 13922 59 262885 blueprint_neut_gene_nor_combat_fdr0.05 neut eQTL blueprint1 blueprint
7 1e-07 5.39506 0.0138504 14 13922 49 262885 blueprint_neut_gene_nor_combat_fdr0.05 neut eQTL blueprint1 blueprint
7 1e-08 4.94547 0.078125 11 13922 42 262885 blueprint_neut_gene_nor_combat_fdr0.05 neut eQTL blueprint1 blueprint
8 0.1 1.35721 -1 16345 46632 67892 262885 blueprint_neut_meth_M_fdr0.05 neut mQTL blueprint1 blueprint
8 0.01 1.6968 -1 3502 46632 11635 262885 blueprint_neut_meth_M_fdr0.05 neut mQTL blueprint1 blueprint
