Cell_Type,Index,PThresh,FE,EmpPval,NAnnotThesh,NAnnot,NThresh,N,Annotation,Datatype,Type,Category,Trait,Dataset,Sig
monocytes,0,0.1,1.5693,-1,4840,15716,27352,139377,blueprint_mono_K27AC_log2rpm_fdr0.05,aceQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_aceQTL,
monocytes,0,0.01,2.49804,-1,1405,15716,4988,139377,blueprint_mono_K27AC_log2rpm_fdr0.05,aceQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_aceQTL,
monocytes,0,0.001,3.36288,-1,565,15716,1490,139377,blueprint_mono_K27AC_log2rpm_fdr0.05,aceQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_aceQTL,
monocytes,0,1e-04,3.74853,-1,287,15716,679,139377,blueprint_mono_K27AC_log2rpm_fdr0.05,aceQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_aceQTL,
monocytes,0,1e-05,3.95152,0,176,15716,395,139377,blueprint_mono_K27AC_log2rpm_fdr0.05,aceQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_aceQTL,0
monocytes,0,1e-06,4.03113,0,125,15716,275,139377,blueprint_mono_K27AC_log2rpm_fdr0.05,aceQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_aceQTL,0
monocytes,0,1e-07,4.15996,0,91,15716,194,139377,blueprint_mono_K27AC_log2rpm_fdr0.05,aceQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_aceQTL,0
monocytes,0,1e-08,3.83672,1e-05,61,15716,141,139377,blueprint_mono_K27AC_log2rpm_fdr0.05,aceQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_aceQTL,1e-05
monocytes,1,0.1,1.48888,-1,8026,27469,27352,139377,blueprint_mono_K4ME1_log2rpm_fdr0.05,aceQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_aceQTL,
monocytes,1,0.01,2.15145,-1,2115,27469,4988,139377,blueprint_mono_K4ME1_log2rpm_fdr0.05,aceQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_aceQTL,
