Tissue,Index,PThresh,FE,EmpPval,NAnnotThesh,NAnnot,NThresh,N,Annotation,Datatype,Type,Category,Trait,Dataset,Sig
DLPFC,16,0.001,3.81665,-1,568,13921,1490,139377,cmc_isoQTL_fdr0.05.chrpos,isoQTL,CMC1,CommonMindConsortium,GIANT_HEIGHT,CommonMindConsortium_isoQTL,
DLPFC,16,1e-04,4.51203,-1,306,13921,679,139377,cmc_isoQTL_fdr0.05.chrpos,isoQTL,CMC1,CommonMindConsortium,GIANT_HEIGHT,CommonMindConsortium_isoQTL,
DLPFC,16,1e-05,4.79055,0,189,13921,395,139377,cmc_isoQTL_fdr0.05.chrpos,isoQTL,CMC1,CommonMindConsortium,GIANT_HEIGHT,CommonMindConsortium_isoQTL,0
DLPFC,16,1e-06,4.80576,0,132,13921,275,139377,cmc_isoQTL_fdr0.05.chrpos,isoQTL,CMC1,CommonMindConsortium,GIANT_HEIGHT,CommonMindConsortium_isoQTL,0
DLPFC,16,1e-07,4.90278,0,95,13921,194,139377,cmc_isoQTL_fdr0.05.chrpos,isoQTL,CMC1,CommonMindConsortium,GIANT_HEIGHT,CommonMindConsortium_isoQTL,0
DLPFC,16,1e-08,5.11251,0,72,13921,141,139377,cmc_isoQTL_fdr0.05.chrpos,isoQTL,CMC1,CommonMindConsortium,GIANT_HEIGHT,CommonMindConsortium_isoQTL,0
DLPFC,21,0.1,2.03919,-1,445,1112,27352,139377,rosmap_aceQTL_p1e-5,aceQTL,rosmap1,ROSMAP,GIANT_HEIGHT,ROSMAP_aceQTL,
DLPFC,21,0.01,4.34716,-1,173,1112,4988,139377,rosmap_aceQTL_p1e-5,aceQTL,rosmap1,ROSMAP,GIANT_HEIGHT,ROSMAP_aceQTL,
DLPFC,21,0.001,6.89785,-1,82,1112,1490,139377,rosmap_aceQTL_p1e-5,aceQTL,rosmap1,ROSMAP,GIANT_HEIGHT,ROSMAP_aceQTL,
DLPFC,21,1e-04,8.6759,-1,47,1112,679,139377,rosmap_aceQTL_p1e-5,aceQTL,rosmap1,ROSMAP,GIANT_HEIGHT,ROSMAP_aceQTL,
DLPFC,21,1e-05,10.7887,0,34,1112,395,139377,rosmap_aceQTL_p1e-5,aceQTL,rosmap1,ROSMAP,GIANT_HEIGHT,ROSMAP_aceQTL,0
DLPFC,21,1e-06,12.306,1e-05,27,1112,275,139377,rosmap_aceQTL_p1e-5,aceQTL,rosmap1,ROSMAP,GIANT_HEIGHT,ROSMAP_aceQTL,1e-05
DLPFC,21,1e-07,13.5676,3e-05,21,1112,194,139377,rosmap_aceQTL_p1e-5,aceQTL,rosmap1,ROSMAP,GIANT_HEIGHT,ROSMAP_aceQTL,3e-05
DLPFC,21,1e-08,14.2229,0.000112017,16,1112,141,139377,rosmap_aceQTL_p1e-5,aceQTL,rosmap1,ROSMAP,GIANT_HEIGHT,ROSMAP_aceQTL,0.000112017
DLPFC,22,0.1,1.15266,-1,2405,10632,27352,139377,rosmap_eQTL_p1e-5,eQTL,rosmap1,ROSMAP,GIANT_HEIGHT,ROSMAP_eQTL,
DLPFC,22,0.01,1.26414,-1,481,10632,4988,139377,rosmap_eQTL_p1e-5,eQTL,rosmap1,ROSMAP,GIANT_HEIGHT,ROSMAP_eQTL,
DLPFC,22,0.001,1.33731,-1,152,10632,1490,139377,rosmap_eQTL_p1e-5,eQTL,rosmap1,ROSMAP,GIANT_HEIGHT,ROSMAP_eQTL,
DLPFC,22,1e-04,1.39008,-1,72,10632,679,139377,rosmap_eQTL_p1e-5,eQTL,rosmap1,ROSMAP,GIANT_HEIGHT,ROSMAP_eQTL,
DLPFC,22,1e-05,1.49345,0.544554,45,10632,395,139377,rosmap_eQTL_p1e-5,eQTL,rosmap1,ROSMAP,GIANT_HEIGHT,ROSMAP_eQTL,0.544554
DLPFC,22,1e-06,1.5731,0.485149,33,10632,275,139377,rosmap_eQTL_p1e-5,eQTL,rosmap1,ROSMAP,GIANT_HEIGHT,ROSMAP_eQTL,0.485149
DLPFC,22,1e-07,1.55418,0.534653,23,10632,194,139377,rosmap_eQTL_p1e-5,eQTL,rosmap1,ROSMAP,GIANT_HEIGHT,ROSMAP_eQTL,0.534653
DLPFC,22,1e-08,1.67351,0.455446,18,10632,141,139377,rosmap_eQTL_p1e-5,eQTL,rosmap1,ROSMAP,GIANT_HEIGHT,ROSMAP_eQTL,0.455446
DLPFC,23,0.1,1.7942,-1,2814,7992,27352,139377,rosmap_mQTL_p1e-12,mQTL,rosmap1,ROSMAP,GIANT_HEIGHT,ROSMAP_mQTL,
DLPFC,23,0.01,2.9334,-1,839,7992,4988,139377,rosmap_mQTL_p1e-12,mQTL,rosmap1,ROSMAP,GIANT_HEIGHT,ROSMAP_mQTL,
DLPFC,23,0.001,4.2604,-1,364,7992,1490,139377,rosmap_mQTL_p1e-12,mQTL,rosmap1,ROSMAP,GIANT_HEIGHT,ROSMAP_mQTL,
DLPFC,23,1e-04,4.82863,-1,188,7992,679,139377,rosmap_mQTL_p1e-12,mQTL,rosmap1,ROSMAP,GIANT_HEIGHT,ROSMAP_mQTL,
DLPFC,23,1e-05,5.25394,0,119,7992,395,139377,rosmap_mQTL_p1e-12,mQTL,rosmap1,ROSMAP,GIANT_HEIGHT,ROSMAP_mQTL,0
DLPFC,23,1e-06,5.20016,3e-05,82,7992,275,139377,rosmap_mQTL_p1e-12,mQTL,rosmap1,ROSMAP,GIANT_HEIGHT,ROSMAP_mQTL,3e-05
DLPFC,23,1e-07,5.39368,0.000518027,60,7992,194,139377,rosmap_mQTL_p1e-12,mQTL,rosmap1,ROSMAP,GIANT_HEIGHT,ROSMAP_mQTL,0.000518027
DLPFC,23,1e-08,5.81319,0.000612257,47,7992,141,139377,rosmap_mQTL_p1e-12,mQTL,rosmap1,ROSMAP,GIANT_HEIGHT,ROSMAP_mQTL,0.000612257
DLPFC,24,0.1,1.9789,-1,200,515,27352,139377,rosmap_sQTL_fdr0.05,sQTL,rosmap1,ROSMAP,GIANT_HEIGHT,ROSMAP_sQTL,
DLPFC,24,0.01,4.34058,-1,80,515,4988,139377,rosmap_sQTL_fdr0.05,sQTL,rosmap1,ROSMAP,GIANT_HEIGHT,ROSMAP_sQTL,
DLPFC,24,0.001,7.62864,-1,42,515,1490,139377,rosmap_sQTL_fdr0.05,sQTL,rosmap1,ROSMAP,GIANT_HEIGHT,ROSMAP_sQTL,
DLPFC,24,1e-04,10.363,-1,26,515,679,139377,rosmap_sQTL_fdr0.05,sQTL,rosmap1,ROSMAP,GIANT_HEIGHT,ROSMAP_sQTL,
DLPFC,24,1e-05,13.0179,6e-05,19,515,395,139377,rosmap_sQTL_fdr0.05,sQTL,rosmap1,ROSMAP,GIANT_HEIGHT,ROSMAP_sQTL,6e-05
DLPFC,24,1e-06,10.8254,0.0147059,11,515,275,139377,rosmap_sQTL_fdr0.05,sQTL,rosmap1,ROSMAP,GIANT_HEIGHT,ROSMAP_sQTL,0.0147059
DLPFC,24,1e-07,12.5552,0.0288184,9,515,194,139377,rosmap_sQTL_fdr0.05,sQTL,rosmap1,ROSMAP,GIANT_HEIGHT,ROSMAP_sQTL,0.0288184
DLPFC,24,1e-08,11.5164,0.0666667,6,515,141,139377,rosmap_sQTL_fdr0.05,sQTL,rosmap1,ROSMAP,GIANT_HEIGHT,ROSMAP_sQTL,0.0666667
DLPFC,15,0.1,1.54073,-1,5055,12704,67892,262885,cmc_eQTL_fdr0.05.chrpos,eQTL,CMC1,CommonMindConsortium,igap_stage_1,CommonMindConsortium_eQTL,
DLPFC,15,0.01,2.12889,-1,1197,12704,11635,262885,cmc_eQTL_fdr0.05.chrpos,eQTL,CMC1,CommonMindConsortium,igap_stage_1,CommonMindConsortium_eQTL,
DLPFC,15,0.001,2.95304,-1,271,12704,1899,262885,cmc_eQTL_fdr0.05.chrpos,eQTL,CMC1,CommonMindConsortium,igap_stage_1,CommonMindConsortium_eQTL,
DLPFC,15,1e-04,4.50575,-1,81,12704,372,262885,cmc_eQTL_fdr0.05.chrpos,eQTL,CMC1,CommonMindConsortium,igap_stage_1,CommonMindConsortium_eQTL,
DLPFC,15,1e-05,6.28183,1e-05,34,12704,112,262885,cmc_eQTL_fdr0.05.chrpos,eQTL,CMC1,CommonMindConsortium,igap_stage_1,CommonMindConsortium_eQTL,1e-05
DLPFC,15,1e-06,5.96242,0.00826446,17,12704,59,262885,cmc_eQTL_fdr0.05.chrpos,eQTL,CMC1,CommonMindConsortium,igap_stage_1,CommonMindConsortium_eQTL,0.00826446
DLPFC,15,1e-07,6.33462,0.00464684,15,12704,49,262885,cmc_eQTL_fdr0.05.chrpos,eQTL,CMC1,CommonMindConsortium,igap_stage_1,CommonMindConsortium_eQTL,0.00464684
DLPFC,15,1e-08,6.8977,0.00540541,14,12704,42,262885,cmc_eQTL_fdr0.05.chrpos,eQTL,CMC1,CommonMindConsortium,igap_stage_1,CommonMindConsortium_eQTL,0.00540541
DLPFC,16,0.1,1.52029,-1,5485,13970,67892,262885,cmc_isoQTL_fdr0.05.chrpos,isoQTL,CMC1,CommonMindConsortium,igap_stage_1,CommonMindConsortium_isoQTL,
DLPFC,16,0.01,2.13813,-1,1322,13970,11635,262885,cmc_isoQTL_fdr0.05.chrpos,isoQTL,CMC1,CommonMindConsortium,igap_stage_1,CommonMindConsortium_isoQTL,
DLPFC,16,0.001,2.8638,-1,289,13970,1899,262885,cmc_isoQTL_fdr0.05.chrpos,isoQTL,CMC1,CommonMindConsortium,igap_stage_1,CommonMindConsortium_isoQTL,
DLPFC,16,1e-04,4.14801,-1,82,13970,372,262885,cmc_isoQTL_fdr0.05.chrpos,isoQTL,CMC1,CommonMindConsortium,igap_stage_1,CommonMindConsortium_isoQTL,
DLPFC,16,1e-05,5.37652,0.000558628,32,13970,112,262885,cmc_isoQTL_fdr0.05.chrpos,isoQTL,CMC1,CommonMindConsortium,igap_stage_1,CommonMindConsortium_isoQTL,0.000558628
DLPFC,16,1e-06,6.37892,0.00106792,20,13970,59,262885,cmc_isoQTL_fdr0.05.chrpos,isoQTL,CMC1,CommonMindConsortium,igap_stage_1,CommonMindConsortium_isoQTL,0.00106792
DLPFC,16,1e-07,6.91267,0.000787774,18,13970,49,262885,cmc_isoQTL_fdr0.05.chrpos,isoQTL,CMC1,CommonMindConsortium,igap_stage_1,CommonMindConsortium_isoQTL,0.000787774
DLPFC,16,1e-08,7.16869,0.00101885,16,13970,42,262885,cmc_isoQTL_fdr0.05.chrpos,isoQTL,CMC1,CommonMindConsortium,igap_stage_1,CommonMindConsortium_isoQTL,0.00101885
DLPFC,21,0.1,1.78205,-1,405,880,67892,262885,rosmap_aceQTL_p1e-5,aceQTL,rosmap1,ROSMAP,igap_stage_1,ROSMAP_aceQTL,
DLPFC,21,0.01,2.46484,-1,96,880,11635,262885,rosmap_aceQTL_p1e-5,aceQTL,rosmap1,ROSMAP,igap_stage_1,ROSMAP_aceQTL,
DLPFC,21,0.001,4.09008,-1,26,880,1899,262885,rosmap_aceQTL_p1e-5,aceQTL,rosmap1,ROSMAP,igap_stage_1,ROSMAP_aceQTL,
DLPFC,21,1e-04,8.8335,-1,11,880,372,262885,rosmap_aceQTL_p1e-5,aceQTL,rosmap1,ROSMAP,igap_stage_1,ROSMAP_aceQTL,
DLPFC,21,1e-05,8.00178,0.138614,3,880,112,262885,rosmap_aceQTL_p1e-5,aceQTL,rosmap1,ROSMAP,igap_stage_1,ROSMAP_aceQTL,0.138614
DLPFC,21,1e-06,5.06327,0.594059,1,880,59,262885,rosmap_aceQTL_p1e-5,aceQTL,rosmap1,ROSMAP,igap_stage_1,ROSMAP_aceQTL,0.594059
DLPFC,21,1e-07,6.09659,0.455446,1,880,49,262885,rosmap_aceQTL_p1e-5,aceQTL,rosmap1,ROSMAP,igap_stage_1,ROSMAP_aceQTL,0.455446
DLPFC,21,1e-08,0,1,0,880,42,262885,rosmap_aceQTL_p1e-5,aceQTL,rosmap1,ROSMAP,igap_stage_1,ROSMAP_aceQTL,1
DLPFC,22,0.1,1.21399,-1,4568,14570,67892,262885,rosmap_eQTL_p1e-5,eQTL,rosmap1,ROSMAP,igap_stage_1,ROSMAP_eQTL,
DLPFC,22,0.01,1.28091,-1,826,14570,11635,262885,rosmap_eQTL_p1e-5,eQTL,rosmap1,ROSMAP,igap_stage_1,ROSMAP_eQTL,
DLPFC,22,0.001,1.23516,-1,130,14570,1899,262885,rosmap_eQTL_p1e-5,eQTL,rosmap1,ROSMAP,igap_stage_1,ROSMAP_eQTL,
DLPFC,22,1e-04,0.873043,-1,18,14570,372,262885,rosmap_eQTL_p1e-5,eQTL,rosmap1,ROSMAP,igap_stage_1,ROSMAP_eQTL,
DLPFC,22,1e-05,0.644389,0.990099,4,14570,112,262885,rosmap_eQTL_p1e-5,eQTL,rosmap1,ROSMAP,igap_stage_1,ROSMAP_eQTL,0.990099
DLPFC,22,1e-06,0.611624,0.960396,2,14570,59,262885,rosmap_eQTL_p1e-5,eQTL,rosmap1,ROSMAP,igap_stage_1,ROSMAP_eQTL,0.960396
DLPFC,22,1e-07,0.368222,0.990099,1,14570,49,262885,rosmap_eQTL_p1e-5,eQTL,rosmap1,ROSMAP,igap_stage_1,ROSMAP_eQTL,0.990099
DLPFC,22,1e-08,0.429593,0.990099,1,14570,42,262885,rosmap_eQTL_p1e-5,eQTL,rosmap1,ROSMAP,igap_stage_1,ROSMAP_eQTL,0.990099
DLPFC,23,0.1,1.67436,-1,2732,6318,67892,262885,rosmap_mQTL_p1e-12,mQTL,rosmap1,ROSMAP,igap_stage_1,ROSMAP_mQTL,
DLPFC,23,0.01,2.32094,-1,649,6318,11635,262885,rosmap_mQTL_p1e-12,mQTL,rosmap1,ROSMAP,igap_stage_1,ROSMAP_mQTL,
DLPFC,23,0.001,3.04562,-1,139,6318,1899,262885,rosmap_mQTL_p1e-12,mQTL,rosmap1,ROSMAP,igap_stage_1,ROSMAP_mQTL,
DLPFC,23,1e-04,5.03333,-1,45,6318,372,262885,rosmap_mQTL_p1e-12,mQTL,rosmap1,ROSMAP,igap_stage_1,ROSMAP_mQTL,
DLPFC,23,1e-05,6.68714,0.00280741,18,6318,112,262885,rosmap_mQTL_p1e-12,mQTL,rosmap1,ROSMAP,igap_stage_1,ROSMAP_mQTL,0.00280741
DLPFC,23,1e-06,7.05236,0.0120337,10,6318,59,262885,rosmap_mQTL_p1e-12,mQTL,rosmap1,ROSMAP,igap_stage_1,ROSMAP_mQTL,0.0120337
DLPFC,23,1e-07,6.79329,0.025641,8,6318,49,262885,rosmap_mQTL_p1e-12,mQTL,rosmap1,ROSMAP,igap_stage_1,ROSMAP_mQTL,0.025641
DLPFC,23,1e-08,6.93482,0.0315457,7,6318,42,262885,rosmap_mQTL_p1e-12,mQTL,rosmap1,ROSMAP,igap_stage_1,ROSMAP_mQTL,0.0315457
DLPFC,24,0.1,1.62823,-1,201,478,67892,262885,rosmap_sQTL_fdr0.05,sQTL,rosmap1,ROSMAP,igap_stage_1,ROSMAP_sQTL,
DLPFC,24,0.01,2.31615,-1,49,478,11635,262885,rosmap_sQTL_fdr0.05,sQTL,rosmap1,ROSMAP,igap_stage_1,ROSMAP_sQTL,
DLPFC,24,0.001,3.76492,-1,13,478,1899,262885,rosmap_sQTL_fdr0.05,sQTL,rosmap1,ROSMAP,igap_stage_1,ROSMAP_sQTL,
DLPFC,24,1e-04,7.39205,-1,5,478,372,262885,rosmap_sQTL_fdr0.05,sQTL,rosmap1,ROSMAP,igap_stage_1,ROSMAP_sQTL,
DLPFC,24,1e-05,9.82087,0.178218,2,478,112,262885,rosmap_sQTL_fdr0.05,sQTL,rosmap1,ROSMAP,igap_stage_1,ROSMAP_sQTL,0.178218
DLPFC,24,1e-06,9.3215,0.306931,1,478,59,262885,rosmap_sQTL_fdr0.05,sQTL,rosmap1,ROSMAP,igap_stage_1,ROSMAP_sQTL,0.306931
DLPFC,24,1e-07,11.2238,0.247525,1,478,49,262885,rosmap_sQTL_fdr0.05,sQTL,rosmap1,ROSMAP,igap_stage_1,ROSMAP_sQTL,0.247525
DLPFC,24,1e-08,0,1,0,478,42,262885,rosmap_sQTL_fdr0.05,sQTL,rosmap1,ROSMAP,igap_stage_1,ROSMAP_sQTL,1
DLPFC,15,0.1,1.16631,-1,18813,154099,158441,1513647,cmc_eQTL_fdr0.05.chrpos,cmc,all,all2,meta-nalls-2014-noMhcMapt,all2_cmc,
DLPFC,15,0.01,1.47852,-1,2690,154099,17871,1513647,cmc_eQTL_fdr0.05.chrpos,cmc,all,all2,meta-nalls-2014-noMhcMapt,all2_cmc,
DLPFC,15,0.001,2.15048,-1,525,154099,2398,1513647,cmc_eQTL_fdr0.05.chrpos,cmc,all,all2,meta-nalls-2014-noMhcMapt,all2_cmc,
DLPFC,15,1e-04,3.64385,-1,161,154099,434,1513647,cmc_eQTL_fdr0.05.chrpos,cmc,all,all2,meta-nalls-2014-noMhcMapt,all2_cmc,
DLPFC,15,1e-05,5.50063,0,84,154099,150,1513647,cmc_eQTL_fdr0.05.chrpos,cmc,all,all2,meta-nalls-2014-noMhcMapt,all2_cmc,0
DLPFC,15,1e-06,6.23865,0,47,154099,74,1513647,cmc_eQTL_fdr0.05.chrpos,cmc,all,all2,meta-nalls-2014-noMhcMapt,all2_cmc,0
DLPFC,15,1e-07,6.54837,0,26,154099,39,1513647,cmc_eQTL_fdr0.05.chrpos,cmc,all,all2,meta-nalls-2014-noMhcMapt,all2_cmc,0
DLPFC,15,1e-08,7.07224,0,18,154099,25,1513647,cmc_eQTL_fdr0.05.chrpos,cmc,all,all2,meta-nalls-2014-noMhcMapt,all2_cmc,0
DLPFC,16,0.1,1.15992,-1,20316,167328,158441,1513647,cmc_isoQTL_fdr0.05.chrpos,cmc,all,all2,meta-nalls-2014-noMhcMapt,all2_cmc,
DLPFC,16,0.01,1.55499,-1,3072,167328,17871,1513647,cmc_isoQTL_fdr0.05.chrpos,cmc,all,all2,meta-nalls-2014-noMhcMapt,all2_cmc,
DLPFC,16,0.001,2.1653,-1,574,167328,2398,1513647,cmc_isoQTL_fdr0.05.chrpos,cmc,all,all2,meta-nalls-2014-noMhcMapt,all2_cmc,
DLPFC,16,1e-04,3.37661,-1,162,167328,434,1513647,cmc_isoQTL_fdr0.05.chrpos,cmc,all,all2,meta-nalls-2014-noMhcMapt,all2_cmc,
DLPFC,16,1e-05,4.70391,0,78,167328,150,1513647,cmc_isoQTL_fdr0.05.chrpos,cmc,all,all2,meta-nalls-2014-noMhcMapt,all2_cmc,0
DLPFC,16,1e-06,3.91178,6e-05,32,167328,74,1513647,cmc_isoQTL_fdr0.05.chrpos,cmc,all,all2,meta-nalls-2014-noMhcMapt,all2_cmc,6e-05
DLPFC,16,1e-07,3.71117,0.0070373,16,167328,39,1513647,cmc_isoQTL_fdr0.05.chrpos,cmc,all,all2,meta-nalls-2014-noMhcMapt,all2_cmc,0.0070373
DLPFC,16,1e-08,2.89472,0.188119,8,167328,25,1513647,cmc_isoQTL_fdr0.05.chrpos,cmc,all,all2,meta-nalls-2014-noMhcMapt,all2_cmc,0.188119
DLPFC,17,0.1,1.17369,-1,1010,8221,158441,1513647,cmc_sQTL_fdr0.05,cmc,all,all2,meta-nalls-2014-noMhcMapt,all2_cmc,
DLPFC,17,0.01,2.08115,-1,202,8221,17871,1513647,cmc_sQTL_fdr0.05,cmc,all,all2,meta-nalls-2014-noMhcMapt,all2_cmc,
DLPFC,17,0.001,2.68732,-1,35,8221,2398,1513647,cmc_sQTL_fdr0.05,cmc,all,all2,meta-nalls-2014-noMhcMapt,all2_cmc,
DLPFC,17,1e-04,4.24239,-1,10,8221,434,1513647,cmc_sQTL_fdr0.05,cmc,all,all2,meta-nalls-2014-noMhcMapt,all2_cmc,
DLPFC,17,1e-05,9.81971,0.00170474,8,8221,150,1513647,cmc_sQTL_fdr0.05,cmc,all,all2,meta-nalls-2014-noMhcMapt,all2_cmc,0.00170474
DLPFC,17,1e-06,17.4167,0.000181123,7,8221,74,1513647,cmc_sQTL_fdr0.05,cmc,all,all2,meta-nalls-2014-noMhcMapt,all2_cmc,0.000181123
DLPFC,17,1e-07,18.8841,0.00335345,4,8221,39,1513647,cmc_sQTL_fdr0.05,cmc,all,all2,meta-nalls-2014-noMhcMapt,all2_cmc,0.00335345
DLPFC,17,1e-08,14.7296,0.0990099,2,8221,25,1513647,cmc_sQTL_fdr0.05,cmc,all,all2,meta-nalls-2014-noMhcMapt,all2_cmc,0.0990099
DLPFC,22,0.1,1.22849,-1,4524,35181,158441,1513647,rosmap_eQTL_fdr0.05,ROSMAP,all,all2,meta-nalls-2014-noMhcMapt,all2_ROSMAP,
DLPFC,22,0.01,1.82489,-1,758,35181,17871,1513647,rosmap_eQTL_fdr0.05,ROSMAP,all,all2,meta-nalls-2014-noMhcMapt,all2_ROSMAP,
DLPFC,22,0.001,2.70922,-1,151,35181,2398,1513647,rosmap_eQTL_fdr0.05,ROSMAP,all,all2,meta-nalls-2014-noMhcMapt,all2_ROSMAP,
DLPFC,22,1e-04,4.2628,-1,43,35181,434,1513647,rosmap_eQTL_fdr0.05,ROSMAP,all,all2,meta-nalls-2014-noMhcMapt,all2_ROSMAP,
DLPFC,22,1e-05,5.73661,0.000361808,20,35181,150,1513647,rosmap_eQTL_fdr0.05,ROSMAP,all,all2,meta-nalls-2014-noMhcMapt,all2_ROSMAP,0.000361808
DLPFC,22,1e-06,9.30261,2e-05,16,35181,74,1513647,rosmap_eQTL_fdr0.05,ROSMAP,all,all2,meta-nalls-2014-noMhcMapt,all2_ROSMAP,2e-05
DLPFC,22,1e-07,11.0319,4e-05,10,35181,39,1513647,rosmap_eQTL_fdr0.05,ROSMAP,all,all2,meta-nalls-2014-noMhcMapt,all2_ROSMAP,4e-05
DLPFC,22,1e-08,6.88393,0.0671141,4,35181,25,1513647,rosmap_eQTL_fdr0.05,ROSMAP,all,all2,meta-nalls-2014-noMhcMapt,all2_ROSMAP,0.0671141
DLPFC,23,0.1,1.21729,-1,1626,12761,158441,1513647,rosmap_haQTL_fdr0.05,ROSMAP,all,all2,meta-nalls-2014-noMhcMapt,all2_ROSMAP,
DLPFC,23,0.01,1.5664,-1,236,12761,17871,1513647,rosmap_haQTL_fdr0.05,ROSMAP,all,all2,meta-nalls-2014-noMhcMapt,all2_ROSMAP,
DLPFC,23,0.001,1.28607,-1,26,12761,2398,1513647,rosmap_haQTL_fdr0.05,ROSMAP,all,all2,meta-nalls-2014-noMhcMapt,all2_ROSMAP,
DLPFC,23,1e-04,1.63984,-1,6,12761,434,1513647,rosmap_haQTL_fdr0.05,ROSMAP,all,all2,meta-nalls-2014-noMhcMapt,all2_ROSMAP,
DLPFC,23,1e-05,0.790767,0.990099,1,12761,150,1513647,rosmap_haQTL_fdr0.05,ROSMAP,all,all2,meta-nalls-2014-noMhcMapt,all2_ROSMAP,0.990099
DLPFC,23,1e-06,1.60291,0.90099,1,12761,74,1513647,rosmap_haQTL_fdr0.05,ROSMAP,all,all2,meta-nalls-2014-noMhcMapt,all2_ROSMAP,0.90099
DLPFC,23,1e-07,0,1,0,12761,39,1513647,rosmap_haQTL_fdr0.05,ROSMAP,all,all2,meta-nalls-2014-noMhcMapt,all2_ROSMAP,1
DLPFC,23,1e-08,0,1,0,12761,25,1513647,rosmap_haQTL_fdr0.05,ROSMAP,all,all2,meta-nalls-2014-noMhcMapt,all2_ROSMAP,1
DLPFC,24,0.1,1.0948,-1,10802,94260,158441,1513647,rosmap_mQTL_fdr0.05,ROSMAP,all,all2,meta-nalls-2014-noMhcMapt,all2_ROSMAP,
DLPFC,24,0.01,1.29752,-1,1444,94260,17871,1513647,rosmap_mQTL_fdr0.05,ROSMAP,all,all2,meta-nalls-2014-noMhcMapt,all2_ROSMAP,
DLPFC,24,0.001,1.87502,-1,280,94260,2398,1513647,rosmap_mQTL_fdr0.05,ROSMAP,all,all2,meta-nalls-2014-noMhcMapt,all2_ROSMAP,
DLPFC,24,1e-04,2.73804,-1,74,94260,434,1513647,rosmap_mQTL_fdr0.05,ROSMAP,all,all2,meta-nalls-2014-noMhcMapt,all2_ROSMAP,
DLPFC,24,1e-05,4.4963,0,42,94260,150,1513647,rosmap_mQTL_fdr0.05,ROSMAP,all,all2,meta-nalls-2014-noMhcMapt,all2_ROSMAP,0
DLPFC,24,1e-06,6.72709,0,31,94260,74,1513647,rosmap_mQTL_fdr0.05,ROSMAP,all,all2,meta-nalls-2014-noMhcMapt,all2_ROSMAP,0
DLPFC,24,1e-07,8.23498,0,20,94260,39,1513647,rosmap_mQTL_fdr0.05,ROSMAP,all,all2,meta-nalls-2014-noMhcMapt,all2_ROSMAP,0
DLPFC,24,1e-08,10.2773,0,16,94260,25,1513647,rosmap_mQTL_fdr0.05,ROSMAP,all,all2,meta-nalls-2014-noMhcMapt,all2_ROSMAP,0
DLPFC,25,0.1,1.18008,-1,471,3813,158441,1513647,rosmap_psiQTL_fdr0.05,ROSMAP,all,all2,meta-nalls-2014-noMhcMapt,all2_ROSMAP,
DLPFC,25,0.01,1.77705,-1,80,3813,17871,1513647,rosmap_psiQTL_fdr0.05,ROSMAP,all,all2,meta-nalls-2014-noMhcMapt,all2_ROSMAP,
DLPFC,25,0.001,3.1453,-1,19,3813,2398,1513647,rosmap_psiQTL_fdr0.05,ROSMAP,all,all2,meta-nalls-2014-noMhcMapt,all2_ROSMAP,
DLPFC,25,1e-04,6.40274,-1,7,3813,434,1513647,rosmap_psiQTL_fdr0.05,ROSMAP,all,all2,meta-nalls-2014-noMhcMapt,all2_ROSMAP,
