Tissue,Index,PThresh,FE,EmpPval,NAnnotThesh,NAnnot,NThresh,N,Annotation,Datatype,Type,Category,Trait,Dataset,Sig
DLPFC,15,0.1,1.68409,-1,4113,12445,27352,139377,cmc_eQTL_fdr0.05.chrpos,eQTL,CMC1,CommonMindConsortium,GIANT_HEIGHT,CommonMindConsortium_eQTL,
DLPFC,15,0.01,2.72352,-1,1213,12445,4988,139377,cmc_eQTL_fdr0.05.chrpos,eQTL,CMC1,CommonMindConsortium,GIANT_HEIGHT,CommonMindConsortium_eQTL,
DLPFC,15,0.001,3.66049,-1,487,12445,1490,139377,cmc_eQTL_fdr0.05.chrpos,eQTL,CMC1,CommonMindConsortium,GIANT_HEIGHT,CommonMindConsortium_eQTL,
DLPFC,15,1e-04,4.4039,-1,267,12445,679,139377,cmc_eQTL_fdr0.05.chrpos,eQTL,CMC1,CommonMindConsortium,GIANT_HEIGHT,CommonMindConsortium_eQTL,
DLPFC,15,1e-05,4.73495,0,167,12445,395,139377,cmc_eQTL_fdr0.05.chrpos,eQTL,CMC1,CommonMindConsortium,GIANT_HEIGHT,CommonMindConsortium_eQTL,0
DLPFC,15,1e-06,4.56123,0,112,12445,275,139377,cmc_eQTL_fdr0.05.chrpos,eQTL,CMC1,CommonMindConsortium,GIANT_HEIGHT,CommonMindConsortium_eQTL,0
DLPFC,15,1e-07,4.73378,0,82,12445,194,139377,cmc_eQTL_fdr0.05.chrpos,eQTL,CMC1,CommonMindConsortium,GIANT_HEIGHT,CommonMindConsortium_eQTL,0
DLPFC,15,1e-08,4.84515,0,61,12445,141,139377,cmc_eQTL_fdr0.05.chrpos,eQTL,CMC1,CommonMindConsortium,GIANT_HEIGHT,CommonMindConsortium_eQTL,0
DLPFC,16,0.1,1.66074,-1,4537,13921,27352,139377,cmc_isoQTL_fdr0.05.chrpos,isoQTL,CMC1,CommonMindConsortium,GIANT_HEIGHT,CommonMindConsortium_isoQTL,
DLPFC,16,0.01,2.74788,-1,1369,13921,4988,139377,cmc_isoQTL_fdr0.05.chrpos,isoQTL,CMC1,CommonMindConsortium,GIANT_HEIGHT,CommonMindConsortium_isoQTL,
