Locus,Cell_type,Assay,Count,Celltype_Assay,background,Study,Gene_Symbol,CTCF,Distance_To_TSS,Annotation
HIP1R,neurons,H3K27ac,1,neurons_H3K27ac,,Nott et al. (2019),,,,
HIP1R,oligo,H3K27ac,3,oligo_H3K27ac,,Nott et al. (2019),,,,
HIP1R,astrocytes,H3K27ac,3,astrocytes_H3K27ac,,Nott et al. (2019),,,,
HIP1R,oligo,H3K4me3,2,oligo_H3K4me3,,Nott et al. (2019),,,,
CAMK2D,oligo,H3K27ac,2,oligo_H3K27ac,,Nott et al. (2019),,,,
CLCN3,oligo,H3K27ac,1,oligo_H3K27ac,,Nott et al. (2019),,,,
CLCN3,neurons,H3K4me3,1,neurons_H3K4me3,,Nott et al. (2019),,,,
CLCN3,oligo,H3K4me3,1,oligo_H3K4me3,,Nott et al. (2019),,,,
CRHR1,neurons,H3K27ac,1,neurons_H3K27ac,,Nott et al. (2019),,,,
FAM171A2,neurons,H3K27ac,2,neurons_H3K27ac,,Nott et al. (2019),,,,
FAM171A2,microglia,H3K27ac,2,microglia_H3K27ac,,Nott et al. (2019),,,,
FAM171A2,oligo,H3K27ac,1,oligo_H3K27ac,,Nott et al. (2019),,,,
FAM171A2,astrocytes,H3K27ac,2,astrocytes_H3K27ac,,Nott et al. (2019),,,,
FAM171A2,neurons,H3K4me3,1,neurons_H3K4me3,,Nott et al. (2019),,,,
FAM171A2,microglia,H3K4me3,1,microglia_H3K4me3,,Nott et al. (2019),,,,
FAM171A2,oligo,H3K4me3,1,oligo_H3K4me3,,Nott et al. (2019),,,,
FAM171A2,astrocytes,H3K4me3,1,astrocytes_H3K4me3,,Nott et al. (2019),,,,
FCGR2A,microglia,H3K27ac,2,microglia_H3K27ac,,Nott et al. (2019),,,,
INPP5F,microglia,ATAC,1,microglia_ATAC,,Nott et al. (2019),,,,
INPP5F,microglia,H3K27ac,2,microglia_H3K27ac,,Nott et al. (2019),,,,
INPP5F,microglia,H3K4me3,1,microglia_H3K4me3,,Nott et al. (2019),,,,
LRRK2,microglia,H3K27ac,1,microglia_H3K27ac,,Nott et al. (2019),,,,
NUCKS1,microglia,H3K27ac,2,microglia_H3K27ac,,Nott et al. (2019),,,,
NUCKS1,oligo,H3K27ac,2,oligo_H3K27ac,,Nott et al. (2019),,,,
NUCKS1,astrocytes,H3K27ac,2,astrocytes_H3K27ac,,Nott et al. (2019),,,,
NUCKS1,neurons,H3K4me3,2,neurons_H3K4me3,,Nott et al. (2019),,,,
NUCKS1,microglia,H3K4me3,2,microglia_H3K4me3,,Nott et al. (2019),,,,
NUCKS1,oligo,H3K4me3,2,oligo_H3K4me3,,Nott et al. (2019),,,,
NUCKS1,astrocytes,H3K4me3,2,astrocytes_H3K4me3,,Nott et al. (2019),,,,
RIT2,neurons,H3K27ac,1,neurons_H3K27ac,,Nott et al. (2019),,,,
TMEM175,neurons,H3K27ac,1,neurons_H3K27ac,,Nott et al. (2019),,,,
UBAP2,astrocytes,H3K27ac,1,astrocytes_H3K27ac,,Nott et al. (2019),,,,
C5orf24,neurons,H3K27ac,1,neurons_H3K27ac,,Nott et al. (2019),,,,
C5orf24,microglia,H3K27ac,1,microglia_H3K27ac,,Nott et al. (2019),,,,
C5orf24,oligo,H3K27ac,1,oligo_H3K27ac,,Nott et al. (2019),,,,
C5orf24,astrocytes,H3K27ac,1,astrocytes_H3K27ac,,Nott et al. (2019),,,,
C5orf24,oligo,H3K4me3,1,oligo_H3K4me3,,Nott et al. (2019),,,,
CLCN3,neurons,ATAC,1,neurons_ATAC,,Nott et al. (2019),,,,
CTSB,neurons,H3K27ac,2,neurons_H3K27ac,,Nott et al. (2019),,,,
CTSB,astrocytes,H3K27ac,2,astrocytes_H3K27ac,,Nott et al. (2019),,,,
DYRK1A,neurons,ATAC,1,neurons_ATAC,,Nott et al. (2019),,,,
DYRK1A,neurons,H3K27ac,1,neurons_H3K27ac,,Nott et al. (2019),,,,
GBF1,astrocytes,H3K27ac,1,astrocytes_H3K27ac,,Nott et al. (2019),,,,
GPNMB,microglia,H3K27ac,1,microglia_H3K27ac,,Nott et al. (2019),,,,
HLA-DRB5,microglia,H3K27ac,3,microglia_H3K27ac,,Nott et al. (2019),,,,
HLA-DRB5,microglia,ATAC,1,microglia_ATAC,,Nott et al. (2019),,,,
HLA-DRB5,microglia,H3K4me3,1,microglia_H3K4me3,,Nott et al. (2019),,,,
IP6K2,neurons,H3K27ac,1,neurons_H3K27ac,,Nott et al. (2019),,,,
IP6K2,oligo,H3K27ac,1,oligo_H3K27ac,,Nott et al. (2019),,,,
IP6K2,astrocytes,H3K27ac,1,astrocytes_H3K27ac,,Nott et al. (2019),,,,
ITPKB,oligo,H3K27ac,4,oligo_H3K27ac,,Nott et al. (2019),,,,
ITPKB,astrocytes,H3K27ac,4,astrocytes_H3K27ac,,Nott et al. (2019),,,,
ITPKB,astrocytes,H3K4me3,3,astrocytes_H3K4me3,,Nott et al. (2019),,,,
KRTCAP2,neurons,ATAC,1,neurons_ATAC,,Nott et al. (2019),,,,
KRTCAP2,microglia,ATAC,1,microglia_ATAC,,Nott et al. (2019),,,,
KRTCAP2,oligo,ATAC,1,oligo_ATAC,,Nott et al. (2019),,,,
KRTCAP2,astrocytes,ATAC,1,astrocytes_ATAC,,Nott et al. (2019),,,,
KRTCAP2,neurons,H3K27ac,1,neurons_H3K27ac,,Nott et al. (2019),,,,
KRTCAP2,microglia,H3K27ac,1,microglia_H3K27ac,,Nott et al. (2019),,,,
KRTCAP2,oligo,H3K27ac,1,oligo_H3K27ac,,Nott et al. (2019),,,,
KRTCAP2,astrocytes,H3K27ac,1,astrocytes_H3K27ac,,Nott et al. (2019),,,,
KRTCAP2,neurons,H3K4me3,1,neurons_H3K4me3,,Nott et al. (2019),,,,
KRTCAP2,microglia,H3K4me3,1,microglia_H3K4me3,,Nott et al. (2019),,,,
KRTCAP2,oligo,H3K4me3,1,oligo_H3K4me3,,Nott et al. (2019),,,,
KRTCAP2,astrocytes,H3K4me3,1,astrocytes_H3K4me3,,Nott et al. (2019),,,,
LRRK2,microglia,ATAC,1,microglia_ATAC,,Nott et al. (2019),,,,
MBNL2,oligo,H3K27ac,1,oligo_H3K27ac,,Nott et al. (2019),,,,
MCCC1,astrocytes,H3K27ac,1,astrocytes_H3K27ac,,Nott et al. (2019),,,,
MCCC1,neurons,H3K27ac,1,neurons_H3K27ac,,Nott et al. (2019),,,,
MED12L,microglia,H3K27ac,2,microglia_H3K27ac,,Nott et al. (2019),,,,
NUCKS1,neurons,ATAC,1,neurons_ATAC,,Nott et al. (2019),,,,
NUCKS1,microglia,ATAC,1,microglia_ATAC,,Nott et al. (2019),,,,
NUCKS1,oligo,ATAC,1,oligo_ATAC,,Nott et al. (2019),,,,
NUCKS1,astrocytes,ATAC,1,astrocytes_ATAC,,Nott et al. (2019),,,,
NUCKS1,neurons,H3K27ac,1,neurons_H3K27ac,,Nott et al. (2019),,,,
RPS6KL1,oligo,H3K27ac,1,oligo_H3K27ac,,Nott et al. (2019),,,,
RPS6KL1,neurons,H3K27ac,1,neurons_H3K27ac,,Nott et al. (2019),,,,
SETD1A,microglia,ATAC,1,microglia_ATAC,,Nott et al. (2019),,,,
SETD1A,oligo,ATAC,1,oligo_ATAC,,Nott et al. (2019),,,,
SETD1A,astrocytes,ATAC,1,astrocytes_ATAC,,Nott et al. (2019),,,,
SETD1A,neurons,H3K27ac,1,neurons_H3K27ac,,Nott et al. (2019),,,,
SETD1A,microglia,H3K27ac,1,microglia_H3K27ac,,Nott et al. (2019),,,,
SETD1A,oligo,H3K27ac,1,oligo_H3K27ac,,Nott et al. (2019),,,,
SETD1A,astrocytes,H3K27ac,1,astrocytes_H3K27ac,,Nott et al. (2019),,,,
SETD1A,neurons,H3K4me3,1,neurons_H3K4me3,,Nott et al. (2019),,,,
SETD1A,microglia,H3K4me3,1,microglia_H3K4me3,,Nott et al. (2019),,,,
SETD1A,oligo,H3K4me3,1,oligo_H3K4me3,,Nott et al. (2019),,,,
SETD1A,astrocytes,H3K4me3,1,astrocytes_H3K4me3,,Nott et al. (2019),,,,
SH3GL2,neurons,H3K27ac,2,neurons_H3K27ac,,Nott et al. (2019),,,,
SH3GL2,neurons,H3K4me3,2,neurons_H3K4me3,,Nott et al. (2019),,,,
SLC2A13,neurons,H3K27ac,1,neurons_H3K27ac,,Nott et al. (2019),,,,
SP1,oligo,H3K27ac,2,oligo_H3K27ac,,Nott et al. (2019),,,,
SP1,astrocytes,H3K27ac,1,astrocytes_H3K27ac,,Nott et al. (2019),,,,
SPTSSB,neurons,ATAC,1,neurons_ATAC,,Nott et al. (2019),,,,
SPTSSB,astrocytes,ATAC,1,astrocytes_ATAC,,Nott et al. (2019),,,,
SPTSSB,neurons,H3K27ac,1,neurons_H3K27ac,,Nott et al. (2019),,,,
SPTSSB,neurons,H3K4me3,1,neurons_H3K4me3,,Nott et al. (2019),,,,
SPTSSB,microglia,H3K4me3,1,microglia_H3K4me3,,Nott et al. (2019),,,,
SPTSSB,oligo,H3K4me3,1,oligo_H3K4me3,,Nott et al. (2019),,,,
SPTSSB,astrocytes,H3K4me3,1,astrocytes_H3K4me3,,Nott et al. (2019),,,,
SYT17,neurons,H3K27ac,2,neurons_H3K27ac,,Nott et al. (2019),,,,
TMEM175,microglia,H3K4me3,1,microglia_H3K4me3,,Nott et al. (2019),,,,
TRIM40,microglia,ATAC,1,microglia_ATAC,,Nott et al. (2019),,,,
TRIM40,neurons,H3K27ac,1,neurons_H3K27ac,,Nott et al. (2019),,,,
TRIM40,microglia,H3K27ac,1,microglia_H3K27ac,,Nott et al. (2019),,,,
TRIM40,neurons,H3K4me3,1,neurons_H3K4me3,,Nott et al. (2019),,,,
TRIM40,oligo,H3K4me3,1,oligo_H3K4me3,,Nott et al. (2019),,,,
HIP1R,astrocytes,enhancers,2,astrocytes_enhancers,1,Nott et al. (2019),,,,
HIP1R,neurons,enhancers,1,neurons_enhancers,1,Nott et al. (2019),,,,
HIP1R,oligo,enhancers,2,oligo_enhancers,1,Nott et al. (2019),,,,
CAMK2D,oligo,enhancers,2,oligo_enhancers,1,Nott et al. (2019),,,,
CLCN3,astrocytes,promoters,1,astrocytes_promoters,1,Nott et al. (2019),,,,
CLCN3,neurons,promoters,1,neurons_promoters,1,Nott et al. (2019),,,,
CLCN3,oligo,promoters,1,oligo_promoters,1,Nott et al. (2019),,,,
CRHR1,neurons,enhancers,1,neurons_enhancers,1,Nott et al. (2019),,,,
FAM171A2,astrocytes,promoters,1,astrocytes_promoters,1,Nott et al. (2019),,,,
FAM171A2,neurons,promoters,1,neurons_promoters,1,Nott et al. (2019),,,,
FAM171A2,oligo,promoters,1,oligo_promoters,1,Nott et al. (2019),,,,
FAM171A2,microglia,promoters,1,microglia_promoters,1,Nott et al. (2019),,,,
FCGR2A,microglia,enhancers,2,microglia_enhancers,1,Nott et al. (2019),,,,
INPP5F,astrocytes,promoters,1,astrocytes_promoters,1,Nott et al. (2019),,,,
INPP5F,neurons,promoters,1,neurons_promoters,1,Nott et al. (2019),,,,
INPP5F,microglia,promoters,1,microglia_promoters,1,Nott et al. (2019),,,,
INPP5F,microglia,enhancers,1,microglia_enhancers,1,Nott et al. (2019),,,,
LRRK2,microglia,enhancers,1,microglia_enhancers,1,Nott et al. (2019),,,,
NUCKS1,astrocytes,promoters,2,astrocytes_promoters,1,Nott et al. (2019),,,,
NUCKS1,neurons,promoters,2,neurons_promoters,1,Nott et al. (2019),,,,
NUCKS1,oligo,promoters,2,oligo_promoters,1,Nott et al. (2019),,,,
NUCKS1,microglia,promoters,2,microglia_promoters,1,Nott et al. (2019),,,,
RIT2,neurons,enhancers,1,neurons_enhancers,1,Nott et al. (2019),,,,
TMEM175,neurons,enhancers,1,neurons_enhancers,1,Nott et al. (2019),,,,
UBAP2,astrocytes,enhancers,1,astrocytes_enhancers,1,Nott et al. (2019),,,,
C5orf24,astrocytes,promoters,1,astrocytes_promoters,1,Nott et al. (2019),,,,
C5orf24,neurons,promoters,1,neurons_promoters,1,Nott et al. (2019),,,,
C5orf24,oligo,promoters,1,oligo_promoters,1,Nott et al. (2019),,,,
C5orf24,microglia,promoters,1,microglia_promoters,1,Nott et al. (2019),,,,
CTSB,astrocytes,enhancers,2,astrocytes_enhancers,1,Nott et al. (2019),,,,
CTSB,neurons,enhancers,2,neurons_enhancers,1,Nott et al. (2019),,,,
DYRK1A,neurons,enhancers,1,neurons_enhancers,1,Nott et al. (2019),,,,
FAM171A2,astrocytes,enhancers,1,astrocytes_enhancers,1,Nott et al. (2019),,,,
